"isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"http://pt.wikipedia.org/wiki/Peccatum","","","","","","","","","","","","Peccatum","Peccatum",""
"http://pt.wikipedia.org/wiki/Yama-B","","","","","","","","","","","","Yama-B","Yama-B",""
"http://pt.wikipedia.org/wiki/The_Weather_Channel","","","","","","","","","","","","The Weather Channel","The Weather Channel;;The Weather Channel LLC",""
"http://pt.wikipedia.org/wiki/2_Brothers_on_the_4th_Floor","","","","","","","","","","","","2 Brothers on the 4th Floor","2 Brothers on the 4th Floor",""
"http://pt.wikipedia.org/wiki/TV_Tribuna_(Santos)","","","","","","","","","","","","TV Tribuna (Santos)","TV Tribuna",""
"http://pt.wikipedia.org/wiki/Sociedade_Esportiva_Palmeiras_B","","","","","","Alviverde;;Palestra;;Verdão","","","","","","Sociedade Esportiva Palmeiras B","Palmeiras",""
"http://pt.wikipedia.org/wiki/Telecine_Pipoca","","","","","","","","","","","","Telecine Pipoca","Canais Globosat;;Telecine Pipoca",""
"http://pt.wikipedia.org/wiki/Associação_Desportiva_Ovarense","","","","","","Vareiros, Alvi-Negros","","","","","","Associação Desportiva Ovarense","Ovarense",""
"http://pt.wikipedia.org/wiki/Albion_Rovers_Football_Club","","","","","","The Wee Rovers","","","","","","Albion Rovers Football Club","Albion Rovers",""
"http://pt.wikipedia.org/wiki/Movimento_Popular_de_Barbuda","","","","","","","","Barbuda People's Movement","","","","Movimento Popular de Barbuda","Movimento Popular de Barbuda",""
"http://pt.wikipedia.org/wiki/Universidade_de_Caxias_do_Sul","","","","","","UCS","","","","","","Universidade de Caxias do Sul","Universidade de Caxias do Sul",""
"http://pt.wikipedia.org/wiki/Today_Is_the_Day","","","","","","","","","","","","Today Is the Day","Today Is the Day",""
"http://pt.wikipedia.org/wiki/Rádio_Industrial_(Várzea_Grande)","","","","","","","","","","","","Rádio Industrial (Várzea Grande)","Radio Industrial AM",""
"http://pt.wikipedia.org/wiki/Motors_TV","","","","","","","","","","","","Motors TV","Motors TV",""
"http://pt.wikipedia.org/wiki/PFC_Shumen","","","","","","Пивоварите (The Brewers)","","","","","","PFC Shumen","Professional Football Club Shumen;;Shumen",""
"http://pt.wikipedia.org/wiki/Rede_Super","","","","","","","","","","","","Rede Super","Igreja Batista da Lagoinha;;Rede Super;;Sociedade Rádio Alvorada",""
"http://pt.wikipedia.org/wiki/Calcio_Catania","","","","","","Gli Elefanti","","","","","","Calcio Catania","Catania",""
