"isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"http://pt.wikipedia.org/wiki/CCX_(mineração)","","","","","","","","","","","","CCX (mineração)","CCX;;CCX Carvão da Colômbia S.A",""
"http://pt.wikipedia.org/wiki/Ho-kago_Tea_Time","","","","","","","","","","","","Ho-kago Tea Time","Ho-kago Tea Time",""
"http://pt.wikipedia.org/wiki/Amidaus_Professionals","","","","","","","","","","","","Amidaus Professionals","Amidaus Professionals",""
"http://pt.wikipedia.org/wiki/Ipiranga_Esporte_Clube_(Campina_Grande)","","","","","","""Alvirrubro"" ou ""Alvirrubro Campinense""","","","","","","Ipiranga Esporte Clube (Campina Grande)","Ipiranga",""
"http://pt.wikipedia.org/wiki/Resistência_Nacional_Moçambicana","","","","","","","","","","","","Resistência Nacional Moçambicana","Resistência Nacional Moçambicana (RENAMO)",""
"http://pt.wikipedia.org/wiki/Semeando_Cidadania_Futebol_Clube","","","","","","","","","","","","Semeando Cidadania Futebol Clube","Semeando Cidadania",""
"http://pt.wikipedia.org/wiki/Airfix","","","","","","","","","","","","Airfix","Airfix",""
"http://pt.wikipedia.org/wiki/Águas_de_Lindóia_Esporte_Clube","","","","","","ALEC","","","","","","Águas de Lindóia Esporte Clube","Águas de Lindóia",""
"http://pt.wikipedia.org/wiki/Madcon","","","","","","","","","","","","Madcon","Madcon",""
"http://pt.wikipedia.org/wiki/ASKÖ_Pasching","","","","","","","","","","","","ASKÖ Pasching","ASKÖ Pasching",""
"http://pt.wikipedia.org/wiki/40º_Batalhão_de_Polícia_Militar_(PMERJ)","","","","","","40° BPM","","","","","","40º Batalhão de Polícia Militar (PMERJ)","40° Batalhão de Polícia Militar",""
"http://pt.wikipedia.org/wiki/Logitech","","","","","","","","","","","","Logitech","Logitech InternationalS.A.",""
"http://pt.wikipedia.org/wiki/Chairmen_of_the_Board","","","","","","","","","","","","Chairmen of the Board","Chairmen of the Board",""
"http://pt.wikipedia.org/wiki/Lions_Gibraltar_Football_Club","","","","","","","","","","","","Lions Gibraltar Football Club","Lions Gibraltar;;Lions Gibraltar Football Club",""
"http://pt.wikipedia.org/wiki/Pó_de_Anjo","","","","","","","","","","","","Pó de Anjo","Pó de anjo",""
"http://pt.wikipedia.org/wiki/The_Decemberists","","","","","","","","","","","","The Decemberists","The Decemberists",""
"http://pt.wikipedia.org/wiki/WSAH","","","","","","","","","","","","WSAH","WSAH",""
"http://pt.wikipedia.org/wiki/Purusam","","","","","","","","","","","","Purusam","Purusam",""
"http://pt.wikipedia.org/wiki/Carnal_Forge","","","","","","","","","","","","Carnal Forge","Carnal Forge",""
"http://pt.wikipedia.org/wiki/Toymania","","","","","","","","","","","","Toymania","Toymania",""
"http://pt.wikipedia.org/wiki/3D_Realms","","","","","","","","","","","","3D Realms","3D Realms",""
"http://pt.wikipedia.org/wiki/5PRAStANtAS","","","","","","","","","","","","5PRAStANtAS","5PRAStANtAS",""
"http://pt.wikipedia.org/wiki/Vanguard_Records","","","","","","","","","","","","Vanguard Records","Vanguard Records",""
"http://pt.wikipedia.org/wiki/Rádio_Esperança_AM","","","","","","","","","","","","Rádio Esperança AM","Rádio Esperança AM;;Rádio Esperança Ltda.",""
"http://pt.wikipedia.org/wiki/Sunset_Homes_Attackers_Football_Club","","","","","","","","","","","","Sunset Homes Attackers Football Club","Attackers FC;;Sunset Homes Attackers Football Club",""
"http://pt.wikipedia.org/wiki/Eleições_legislativas_regionais_nos_Açores_em_2000","","","","","","","","","","","","Eleições legislativas regionais nos Açores em 2000","",""
"http://pt.wikipedia.org/wiki/Mogwai_(banda)","","","","","","","","","","","","Mogwai (banda)","Mogwai",""
"http://pt.wikipedia.org/wiki/39º_Batalhão_de_Polícia_Militar_(PMERJ)","","","","","","39° BPM","","","","","","39º Batalhão de Polícia Militar (PMERJ)","39° Batalhão de Polícia Militar",""
"http://pt.wikipedia.org/wiki/Sporting_Clube_do_Sabugal","","","","","","","","","","","","Sporting Clube do Sabugal","Sporting Clube do Sabugal",""
"http://pt.wikipedia.org/wiki/Club_Silvio_Pettirossi","","","","","","Los Aviadores","","","","","","Club Silvio Pettirossi","Silvio Pettirossi",""
"http://pt.wikipedia.org/wiki/Eurythmics","","","","","","","","","","","","Eurythmics","Eurythmics",""
"http://pt.wikipedia.org/wiki/Comercial_Atlético_Clube","","","","","","O Bode da Terra dos Carnaubais","","","","","","Comercial Atlético Clube","Comercial;;Comercial Atlético Clube",""
"http://pt.wikipedia.org/wiki/Nonstop","","","","","","","","","","","","Nonstop","Nonstop",""
"http://pt.wikipedia.org/wiki/Ortobom","","","","","","","","","","","","Ortobom","Ortobom",""
"http://pt.wikipedia.org/wiki/CBS_Television_Studios","","","","","","","","","","","","CBS Television Studios","CBS Television Studios",""
"http://pt.wikipedia.org/wiki/Beleza_Roraima","","","","","","","","","","","","Beleza Roraima","Miss Terra Roraima",""
"http://pt.wikipedia.org/wiki/Certisign","","","","","","","","","","","","Certisign","Certisign Certificadora Digital S.A.(Certisign)",""
"http://pt.wikipedia.org/wiki/Expresso_Rio_de_Janeiro","","","","","","","","","","","","Expresso Rio de Janeiro","Expresso Rio de Janeiro LTDA.",""
"http://pt.wikipedia.org/wiki/Calcio_Como","","","","","","Lariani","","","","","","Calcio Como","Como",""
"http://pt.wikipedia.org/wiki/Lojas_do_Baú_Crediário","","","","","","","","","","","","Lojas do Baú Crediário","BF Utilidades Domésticas Ltda.;;Baú da Felicidade Crediário",""
"http://pt.wikipedia.org/wiki/Rádio_Bandeirantes_Penápolis","","","","","","","","","","","","Rádio Bandeirantes Penápolis","Rádio Bandeirantes Penápolis;;Rádio Icatu Ltda.",""
"http://pt.wikipedia.org/wiki/JLS","","","","","","","","","","","","JLS","JLS",""
"http://pt.wikipedia.org/wiki/União_da_Vila_Planalto_e_Lago_Sul","","","","","","","","","","","","União da Vila Planalto e Lago Sul","União da Vila Planalto e Lago Sul",""
"http://pt.wikipedia.org/wiki/Táxi_(banda)","","","","","","","","","","","","Táxi (banda)","Taxi",""
"http://pt.wikipedia.org/wiki/Groove_Armada","","","","","","","","","","","","Groove Armada","Groove Armada",""
"http://pt.wikipedia.org/wiki/Società_Sportiva_Dilettantistica_Gallipoli_Football_1909","","","","","","Galletti (Galos)","","","","","","Società Sportiva Dilettantistica Gallipoli Football 1909","Associazione Sportiva Dilettantistica Gallipoli Football 1909;;Gallipoli;;Gallipoli Calcio",""
"http://pt.wikipedia.org/wiki/Gyeongnam_Football_Club","","","","","","Gyeongnam Football Club;;경남 도민 프로축구단","","","","","","Gyeongnam Football Club","Gyeongnam FC",""
"http://pt.wikipedia.org/wiki/United_Breweries_Limited","","","","","","","","","","","","United Breweries Limited","United Breweries (UB Group)",""
"http://pt.wikipedia.org/wiki/Club_Fernando_de_la_Mora","","","","","","Fernandinos","","","","","","Club Fernando de la Mora","Fernando de la Mora",""
"http://pt.wikipedia.org/wiki/Futebol_Clube_do_Porto_Real","","","","","","Futebol Clube do Porto Real","","","","","","Futebol Clube do Porto Real","FC Porto Real",""
"http://pt.wikipedia.org/wiki/Expresso_Itamarati","","","","","","","","","","","","Expresso Itamarati","Expresso Itamarati;;Expresso Itamarati S/A",""
"http://pt.wikipedia.org/wiki/Royal_Excelsior_Mouscron","","","","","","Les Hurlus, Les Frontaliers","","","","","","Royal Excelsior Mouscron","Excelsior Mouscron;;Royal Excelsior Mouscron",""
"http://pt.wikipedia.org/wiki/Ilaoa_&_To'omata","","","","","","","","","","","","Ilaoa & To'omata","Ilaoa & To'omata",""
"http://pt.wikipedia.org/wiki/MMX_Mineração","","","","","","","","","","","","MMX Mineração","MMX Mineração;;MMX Mineração e metálicos S.A.",""
"http://pt.wikipedia.org/wiki/Sinai_Beach","","","","","","","","","","","","Sinai Beach","Sinai Beach",""
"http://pt.wikipedia.org/wiki/Santos_Porto_Velho_Futebol_Clube","","","","","","Meninos da Vila de Porto Velho","","","","","","Santos Porto Velho Futebol Clube","Santos Porto Velho;;Santos Porto Velho Futebol Clube",""
"http://pt.wikipedia.org/wiki/Nybro_Idrottsförening","","","","","","","","","","","","Nybro Idrottsförening","Nybro IF;;Nybro Idrottsförening",""
"http://pt.wikipedia.org/wiki/Wemade_Entertainment","","","","","","","","","","","","Wemade Entertainment","WeMade FOX",""
"http://pt.wikipedia.org/wiki/Navy_Football_Club","","","","","","","","","","","","Navy Football Club","Navy Football Club;;Siam Navy",""
"http://pt.wikipedia.org/wiki/Aurora_Fútbol_Club","","","","","","Aurinegros;;Castrenses;;Militares;;Tigres","","","","","","Aurora Fútbol Club","Aurora Fútbol Club",""
"http://pt.wikipedia.org/wiki/Sabena_Flight_Academy","","","","","","","","","","","","Sabena Flight Academy","",""
"http://pt.wikipedia.org/wiki/Quartel_General_(Suécia)","","","","","","","","","","","","Quartel General (Suécia)","",""
"http://pt.wikipedia.org/wiki/Open_English","","","","","","","","","","","","Open English","",""
"http://pt.wikipedia.org/wiki/Moxine","","","","","","","","","","","","Moxine","Moxine",""
"http://pt.wikipedia.org/wiki/Tayti","","","","","","","","","","","","Tayti","Tayti",""
"http://pt.wikipedia.org/wiki/Partido_Republicano_da_Albânia","","","","","","","","Partia Republikane e Shqipërisë","","","","Partido Republicano da Albânia","Partido Republicano da Albânia",""
"http://pt.wikipedia.org/wiki/Deportivo_UNGE","","","","","","","","","","","","Deportivo UNGE","Deportivo UNGE",""
"http://pt.wikipedia.org/wiki/Academia_de_Belas_Artes_de_Munique","","","","","","","","","","","","Academia de Belas Artes de Munique","",""
"http://pt.wikipedia.org/wiki/Radiotelevisão_Caboverdiana","","","","","","","","","","","","Radiotelevisão Caboverdiana","Radiotelevisão Caboverdiana",""
"http://pt.wikipedia.org/wiki/SBT_RS","","","","","","","","","","","","SBT RS","SBT RS",""
"http://pt.wikipedia.org/wiki/Club_Deportivo_Junior","","","","","","","","","","","","Club Deportivo Junior","Club Deportivo Junior",""
"http://pt.wikipedia.org/wiki/LATAM_Airlines_Group","","","","","","","","","","","","LATAM Airlines Group","LATAM Airlines",""
