"historicalName","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","http://pt.wikipedia.org/wiki/San_Gregorio_Magno","","","","","","","","","","","","San Gregorio Magno","San Gregorio Magno",""
"","http://pt.wikipedia.org/wiki/(74473)_1999_CY55","","","","","","","","","","","","(74473) 1999 CY55","1999 CY55",""
"","http://pt.wikipedia.org/wiki/Sítio_Morro_Grande","","","","","","","","","","","","Sítio Morro Grande","Morro Grande",""
"","http://pt.wikipedia.org/wiki/Governador_Eugênio_Barros","","","","","","","","","","","","Governador Eugênio Barros","Governador Eugênio Barros",""
"","http://pt.wikipedia.org/wiki/Thevray","","","","","","","","","","","","Thevray","Thevray",""
"","http://pt.wikipedia.org/wiki/Veyrières_(Corrèze)","","","","","","","","","","","","Veyrières (Corrèze)","Veyrières",""
"","http://pt.wikipedia.org/wiki/6011_Tozzi","","","","","","","","","","","","6011 Tozzi","Tozzi",""
"","http://pt.wikipedia.org/wiki/Rosemead","","","","","","","","","","","","Rosemead","Rosemead",""
"","http://pt.wikipedia.org/wiki/Charqueada_(São_Paulo)","","","","","","","","","","","","Charqueada (São Paulo)","Charqueada",""
"","http://pt.wikipedia.org/wiki/Rio_Jaru","","","","","","","","","","","","Rio Jaru","Rio Jaru",""
"","http://pt.wikipedia.org/wiki/Estádio_Presidente_Vargas_(Campina_Grande)","","","","","","PV, Arena Presidente Vargas, Palco de vitórias","","","","","","Estádio Presidente Vargas (Campina Grande)","Estádio Presidente Vargas",""
"","http://pt.wikipedia.org/wiki/Medicine_Bow","","","","","","","","","","","","Medicine Bow","Medicine Bow",""
"","http://pt.wikipedia.org/wiki/Amagasaki","","","","","","","","","","","","Amagasaki","-shi;;Amagasaki;;尼崎市",""
"","http://pt.wikipedia.org/wiki/Dettey","","","","","","","","","","","","Dettey","Dettey",""
"","http://pt.wikipedia.org/wiki/Montefano","","","","","","","","","","","","Montefano","Montefano",""
"","http://pt.wikipedia.org/wiki/Comuna_de_Chełm","","","","","","","","","","","","Comuna de Chełm","Chełm",""
"","http://pt.wikipedia.org/wiki/30716_5107_T-3","","","","","","","","","","","","30716 5107 T-3","5107 T-3",""
"","http://pt.wikipedia.org/wiki/Brgulice","","","","","","","","","","","","Brgulice","Brgulice",""
"","http://pt.wikipedia.org/wiki/Schwandorf","","","","","","","","","","","","Schwandorf","Schwandorf",""
"","http://pt.wikipedia.org/wiki/Champéon","","","","","","","","","","","","Champéon","Champéon",""
"","http://pt.wikipedia.org/wiki/Montoliu_de_Segarra","","","","","","","","","","","","Montoliu de Segarra","Montoliu de Segarra",""
"","http://pt.wikipedia.org/wiki/Choctaw_Lake","","","","","","","","","","","","Choctaw Lake","Choctaw Lake",""
"","http://pt.wikipedia.org/wiki/Yorkville_(Ohio)","","","","","","","","","","","","Yorkville (Ohio)","Yorkville",""
"","http://pt.wikipedia.org/wiki/NGC_6239","","","","","","","","","","","","NGC 6239","6239, UGC 10577, MCG 7-35-1, ZWG 225.2, ZWG 224.105, IRAS16484+4249, PGC 59083;;NGC 6239",""
"","http://pt.wikipedia.org/wiki/Pressath","","","","","","","","","","","","Pressath","Pressath",""
"","http://pt.wikipedia.org/wiki/Saint-Julien-Chapteuil","","","","","","","","","","","","Saint-Julien-Chapteuil","Saint-Julien-Chapteuil",""
"","http://pt.wikipedia.org/wiki/Saint-Marcel_(Valle_d'Aosta)","","","","","","","","","","","","Saint-Marcel (Valle d'Aosta)","Saint-Marcel",""
"","http://pt.wikipedia.org/wiki/Rio_Coacăz","","","","","","","","","","","","Rio Coacăz","Rio Coacăz",""
"","http://pt.wikipedia.org/wiki/São_Pedro_de_Alcântara","","","","","","","","","","","","São Pedro de Alcântara","São Pedro de Alcântara",""
"","http://pt.wikipedia.org/wiki/Seefeld-Kadolz","","","","","","","","","","","","Seefeld-Kadolz","Seefeld-Kadolz",""
"","http://pt.wikipedia.org/wiki/Du_Bois_(Illinois)","","","","","","","","","","","","Du Bois (Illinois)","Du Bois",""
"","http://pt.wikipedia.org/wiki/62_Erato","","","","","","","","","","","","62 Erato","Erato",""
"","http://pt.wikipedia.org/wiki/Condado_de_Newport","","","","","","","","","","","","Condado de Newport","Newport",""
"","http://pt.wikipedia.org/wiki/Hütschenhausen","","","","","","","","","","","","Hütschenhausen","Hütschenhausen",""
"","http://pt.wikipedia.org/wiki/Manonville","","","","","","","","","","","","Manonville","Manonville",""
"","http://pt.wikipedia.org/wiki/Rio_Cozmeni","","","","","","","","","","","","Rio Cozmeni","Rio Cozmeni",""
"","http://pt.wikipedia.org/wiki/Ibara","","","","","","","","","","","","Ibara","-shi;;Ibara;;井原市",""
"","http://pt.wikipedia.org/wiki/NGC_7768","","","","","","","","","","","","NGC 7768","7768, UGC 12806, MCG 4-56-18, ZWG 477.19, PGC 72605;;NGC 7768",""
"","http://pt.wikipedia.org/wiki/Pullach","","","","","","","","","","","","Pullach","Pullach",""
"","http://pt.wikipedia.org/wiki/Marysville_(Michigan)","","","","","","","","","","","","Marysville (Michigan)","Marysville",""
"","http://pt.wikipedia.org/wiki/Hospital_Geral_da_Penha","","","","","","","","","","","","Hospital Geral da Penha","Hospital Geral da Penha",""
"","http://pt.wikipedia.org/wiki/Prez_(Ardenas)","","","","","","","","","","","","Prez (Ardenas)","Prez",""
"","http://pt.wikipedia.org/wiki/28915_2000_OU13","","","","","","","","","","","","28915 2000 OU13","2000 OU13",""
"","http://pt.wikipedia.org/wiki/15898_Kharasterteam","","","","","","","","","","","","15898 Kharasterteam","Kharasterteam",""
"","http://pt.wikipedia.org/wiki/Demerath","","","","","","","","","","","","Demerath","Demerath",""
