"historicalName","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","http://pt.wikipedia.org/wiki/Yokosuka","","","","","","","","","","","","Yokosuka","-shi;;Yokosuka;;横須賀市",""
"","http://pt.wikipedia.org/wiki/Caloveto","","","","","","","","","","","","Caloveto","Caloveto",""
"","http://pt.wikipedia.org/wiki/Pleniţa","","","","","","","","","","","","Pleniţa","Pleniţa",""
"","http://pt.wikipedia.org/wiki/Virginia_(Nebraska)","","","","","","","","","","","","Virginia (Nebraska)","Virginia",""
"","http://pt.wikipedia.org/wiki/33266_1998_HW78","","","","","","","","","","","","33266 1998 HW78","1998 HW78",""
"","http://pt.wikipedia.org/wiki/Nußdorf_ob_der_Traisen","","","","","","","","","","","","Nußdorf ob der Traisen","Nußdorf ob der Traisen",""
"","http://pt.wikipedia.org/wiki/36884_2000_SN158","","","","","","","","","","","","36884 2000 SN158","2000 SN158",""
"","http://pt.wikipedia.org/wiki/Hudson_(Illinois)","","","","","","","","","","","","Hudson (Illinois)","Hudson",""
"","http://pt.wikipedia.org/wiki/Cognac-la-Forêt","","","","","","","","","","","","Cognac-la-Forêt","Cognac-la-Forêt",""
"","http://pt.wikipedia.org/wiki/Pillsbury_(Dacota_do_Norte)","","","","","","","","","","","","Pillsbury (Dacota do Norte)","Pillsbury",""
"","http://pt.wikipedia.org/wiki/Limbourg","","","","","","","","","","","","Limbourg","Limbourg",""
"","http://pt.wikipedia.org/wiki/Bururi","","","","","","","","","","","","Bururi","Bururi",""
"","http://pt.wikipedia.org/wiki/10219_Penco","","","","","","","","","","","","10219 Penco","Penco",""
"","http://pt.wikipedia.org/wiki/Bussière-Saint-Georges","","","","","","","","","","","","Bussière-Saint-Georges","Bussière-Saint-Georges",""
"","http://pt.wikipedia.org/wiki/Rod_Laver_Arena","","","","","","The Tennis Centre","","","","","","Rod Laver Arena","Rod Laver Arena;;Rod Laver Arena do Melbourne Park",""
"","http://pt.wikipedia.org/wiki/Montarcher","","","","","","","","","","","","Montarcher","Montarcher",""
"","http://pt.wikipedia.org/wiki/Ortigosa_de_Cameros","","","","","","","","","","","","Ortigosa de Cameros","Ortigosa de Cameros",""
"","http://pt.wikipedia.org/wiki/11137_Yarigatake","","","","","","","","","","","","11137 Yarigatake","Yarigatake",""
"","http://pt.wikipedia.org/wiki/Falésias_de_Fósseis_de_Joggins","","","","","","","","","","","","Falésias de Fósseis de Joggins","Falésias de Fósseis de Joggins",""
"","http://pt.wikipedia.org/wiki/1999_RK257","","","","","","","","","","","","1999 RK257","1999 RK257",""
"","http://pt.wikipedia.org/wiki/Panassac","","","","","","","","","","","","Panassac","Panassac",""
"","http://pt.wikipedia.org/wiki/Hamilton_(Geórgia)","","","","","","","","","","","","Hamilton (Geórgia)","Hamilton",""
"","http://pt.wikipedia.org/wiki/Sedella","","","","","","","","","","","","Sedella","Sedella",""
"","http://pt.wikipedia.org/wiki/Valls","","","","","","","","","","","","Valls","Valls",""
"","http://pt.wikipedia.org/wiki/Monóvar","","","","","","","","","","","","Monóvar","Monòver;;Monóvar",""
"","http://pt.wikipedia.org/wiki/Sedan_(Minnesota)","","","","","","","","","","","","Sedan (Minnesota)","Sedan",""
"","http://pt.wikipedia.org/wiki/3469_Bulgakov","","","","","","","","","","","","3469 Bulgakov","Bulgakov",""
"","http://pt.wikipedia.org/wiki/Estação_Del_Sol","","","","","","","","","","","","Estação Del Sol","Del Sol",""
"","http://pt.wikipedia.org/wiki/Fortim","","","","","","","","","","","","Fortim","Fortim",""
"","http://pt.wikipedia.org/wiki/Clarendon_(Pensilvânia)","","","","","","","","","","","","Clarendon (Pensilvânia)","Clarendon",""
"","http://pt.wikipedia.org/wiki/23353_9518_P-L","","","","","","","","","","","","23353 9518 P-L","9518 P-L",""
"","http://pt.wikipedia.org/wiki/Bad_Schönau","","","","","","","","","","","","Bad Schönau","Bad Schönau",""
"","http://pt.wikipedia.org/wiki/Sornay_(Haute-Saône)","","","","","","","","","","","","Sornay (Haute-Saône)","Sornay",""
"","http://pt.wikipedia.org/wiki/Mont-sous-Vaudrey","","","","","","","","","","","","Mont-sous-Vaudrey","Mont-sous-Vaudrey",""
"","http://pt.wikipedia.org/wiki/Ponte_Salgueiro_Maia","","","","","","IC10","","","","","","Ponte Salgueiro Maia","Ponte Salgueiro Maia",""
"","http://pt.wikipedia.org/wiki/Panorama_Park","","","","","","","","","","","","Panorama Park","Panorama Park",""
"","http://pt.wikipedia.org/wiki/Sillas","","","","","","","","","","","","Sillas","Sillas",""
"","http://pt.wikipedia.org/wiki/Comuna_de_Drelów","","","","","","","","","","","","Comuna de Drelów","Drelów",""
"","http://pt.wikipedia.org/wiki/Benitagla","","","","","","","","","","","","Benitagla","Benitagla",""
"","http://pt.wikipedia.org/wiki/Bowman_(Carolina_do_Sul)","","","","","","","","","","","","Bowman (Carolina do Sul)","Bowman",""
"","http://pt.wikipedia.org/wiki/24782_1993_SO7","","","","","","","","","","","","24782 1993 SO7","1993 SO7",""
"","http://pt.wikipedia.org/wiki/Guardizela","","","","","","","","","","","","Guardizela","Guardizela",""
"","http://pt.wikipedia.org/wiki/2378_Pannekoek","","","","","","","","","","","","2378 Pannekoek","Pannekoek",""
"","http://pt.wikipedia.org/wiki/NGC_5696","","","","","","","","","","","","NGC 5696","5696, UGC 9415, MCG 7-30-36, ZWG 220.36, IRAS14350+4202, PGC 52235;;NGC 5696",""
"","http://pt.wikipedia.org/wiki/Estádio_Municipal_25_de_Abril","","","","","","","","","","","","Estádio Municipal 25 de Abril","Estádio Municipal 25 de Abril",""
"","http://pt.wikipedia.org/wiki/Rio_Cernuc","","","","","","","","","","","","Rio Cernuc","Rio Cernuc",""
"","http://pt.wikipedia.org/wiki/NGC_5430","","","","","","","","","","","","NGC 5430","5430, UGC 8937, MCG 10-20-62, MK 799, ZWG 295.32, IRAS13591+5934, PGC 49881;;NGC 5430",""
"","http://pt.wikipedia.org/wiki/Condado_de_Napa","","","","","","","","","","","","Condado de Napa","Napa",""
"","http://pt.wikipedia.org/wiki/2012_UU177","","","","","","","","","","","","2012 UU177","2012 UU177",""
"","http://pt.wikipedia.org/wiki/Mallar","","","","","","","","","","","","Mallar","Mallar",""
"","http://pt.wikipedia.org/wiki/15374_Teta","","","","","","","","","","","","15374 Teta","Teta",""
"","http://pt.wikipedia.org/wiki/Prissac","","","","","","","","","","","","Prissac","Prissac",""
"","http://pt.wikipedia.org/wiki/Dildarnagar_Fatehpur_Bazar","","","","","","","","","","","","Dildarnagar Fatehpur Bazar","Dildarnagar Fatehpur Bazar",""
"","http://pt.wikipedia.org/wiki/Vireux-Wallerand","","","","","","","","","","","","Vireux-Wallerand","Vireux-Wallerand",""
"","http://pt.wikipedia.org/wiki/Pavia","","","","","","","","","","","","Pavia","Pavia;;San Siro",""
"","http://pt.wikipedia.org/wiki/Scappoose","","","","","","","","","","","","Scappoose","Scappoose",""
"","http://pt.wikipedia.org/wiki/35763_1999_HK3","","","","","","","","","","","","35763 1999 HK3","1999 HK3",""
