"historicalName","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","http://pt.wikipedia.org/wiki/Riverdale_(Iowa)","","","","","","","","","","","","Riverdale (Iowa)","Riverdale",""
"","http://pt.wikipedia.org/wiki/Daomé_Francês","","","","","","","","","","","","Daomé Francês","Dahomey;;Daomé;;Daomé francês",""
"","http://pt.wikipedia.org/wiki/Fontegreca","","","","","","","","","","","","Fontegreca","Fontegreca",""
"","http://pt.wikipedia.org/wiki/Châteauneuf-d'Entraunes","","","","","","","","","","","","Châteauneuf-d'Entraunes","Châteauneuf-d'Entraunes",""
"","http://pt.wikipedia.org/wiki/Viana_de_Jadraque","","","","","","","","","","","","Viana de Jadraque","Viana de Jadraque",""
"","http://pt.wikipedia.org/wiki/Guyonvelle","","","","","","","","","","","","Guyonvelle","Guyonvelle",""
"","http://pt.wikipedia.org/wiki/2012_KU50","","","","","","","","","","","","2012 KU50","2012 KU50",""
"","http://pt.wikipedia.org/wiki/Breda_(Iowa)","","","","","","","","","","","","Breda (Iowa)","Breda",""
"","http://pt.wikipedia.org/wiki/29899_1999_HU1","","","","","","","","","","","","29899 1999 HU1","1999 HU1",""
"","http://pt.wikipedia.org/wiki/2866_Hardy","","","","","","","","","","","","2866 Hardy","Hardy",""
"","http://pt.wikipedia.org/wiki/Leimen_(Renânia-Palatinado)","","","","","","","","","","","","Leimen (Renânia-Palatinado)","Leimen",""
"","http://pt.wikipedia.org/wiki/Condado_de_Ballard","","","","","","","","","","","","Condado de Ballard","Ballard",""
"","http://pt.wikipedia.org/wiki/(22961)_1999_UM14","","","","","","","","","","","","(22961) 1999 UM14","1999 UM14",""
"","http://pt.wikipedia.org/wiki/Grosse_Ile","","","","","","","","","","","","Grosse Ile","Grosse Ile",""
"","http://pt.wikipedia.org/wiki/(82213)_2001_HK49","","","","","","","","","","","","(82213) 2001 HK49","2001 HK49",""
"","http://pt.wikipedia.org/wiki/Baillé","","","","","","","","","","","","Baillé","Baillé",""
"","http://pt.wikipedia.org/wiki/24768_1993_FC13","","","","","","","","","","","","24768 1993 FC13","1993 FC13",""
"","http://pt.wikipedia.org/wiki/Papleux","","","","","","","","","","","","Papleux","Papleux",""
"","http://pt.wikipedia.org/wiki/Rio_Bedina","","","","","","","","","","","","Rio Bedina","Rio Bedina",""
"","http://pt.wikipedia.org/wiki/24123_Timothychang","","","","","","","","","","","","24123 Timothychang","Timothychang",""
"","http://pt.wikipedia.org/wiki/NGC_707-2","","","","","","","","","","","","NGC 707-2","NGC 707-2",""
"","http://pt.wikipedia.org/wiki/NGC_1454","","","","","","","","","","","","NGC 1454","NGC 1454","ESO 549-?013"
"","http://pt.wikipedia.org/wiki/Riva_San_Vitale","","","","","","","","","","","","Riva San Vitale","Riva San Vitale",""
"","http://pt.wikipedia.org/wiki/Dej","","","","","","","","","","","","Dej","Dej",""
"","http://pt.wikipedia.org/wiki/Maurrin","","","","","","","","","","","","Maurrin","Maurrin",""
"","http://pt.wikipedia.org/wiki/Ustroń","","","","","","","","","","","","Ustroń","Ustroń",""
"","http://pt.wikipedia.org/wiki/Bear_Creek_Village","","","","","","","","","","","","Bear Creek Village","Bear Creek Village",""
"","http://pt.wikipedia.org/wiki/Rio_Coasa","","","","","","","","","","","","Rio Coasa","Rio Coasa",""
"","http://pt.wikipedia.org/wiki/Le_Fournet","","","","","","","","","","","","Le Fournet","Le Fournet",""
"","http://pt.wikipedia.org/wiki/Kataiya","","","","","","","","","","","","Kataiya","Kataiya",""
"","http://pt.wikipedia.org/wiki/25364_Allisonbaas","","","","","","","","","","","","25364 Allisonbaas","Allisonbaas",""
"","http://pt.wikipedia.org/wiki/31695_1999_JQ32","","","","","","","","","","","","31695 1999 JQ32","1999 JQ32",""
