"historicalName","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","http://pt.wikipedia.org/wiki/15461_Johnbird","","","","","","","","","","","","15461 Johnbird","Johnbird",""
"","http://pt.wikipedia.org/wiki/Saint-Amand-sur-Ornain","","","","","","","","","","","","Saint-Amand-sur-Ornain","Saint-Amand-sur-Ornain",""
"","http://pt.wikipedia.org/wiki/NGC_2977","","","","","","","","","","","","NGC 2977","2977, UGC 5175, MCG 13-7-35, ZWG 350.30, KARA 393, IRAS09388+7505, PGC 27845;;NGC 2977",""
"","http://pt.wikipedia.org/wiki/14734_Susanstoker","","","","","","","","","","","","14734 Susanstoker","Susanstoker",""
"","http://pt.wikipedia.org/wiki/2011_UQ62","","","","","","","","","","","","2011 UQ62","2011 FX62",""
"","http://pt.wikipedia.org/wiki/Jala_Kendua","","","","","","","","","","","","Jala Kendua","Jala Kendua",""
"","http://pt.wikipedia.org/wiki/Targon","","","","","","","","","","","","Targon","Targon",""
"","http://pt.wikipedia.org/wiki/Cuves","","","","","","","","","","","","Cuves","Cuves",""
"","http://pt.wikipedia.org/wiki/Céran","","","","","","","","","","","","Céran","Céran",""
"","http://pt.wikipedia.org/wiki/Dekutince","","","","","","","","","","","","Dekutince","Dekutince",""
"","http://pt.wikipedia.org/wiki/23556_1994_PY25","","","","","","","","","","","","23556 1994 PY25","1994 PY25",""
"","http://pt.wikipedia.org/wiki/35985_1999_NJ8","","","","","","","","","","","","35985 1999 NJ8","1999 NJ8",""
"","http://pt.wikipedia.org/wiki/Fay-lès-Marcilly","","","","","","","","","","","","Fay-lès-Marcilly","Fay-lès-Marcilly",""
"","http://pt.wikipedia.org/wiki/Guillaumes","","","","","","","","","","","","Guillaumes","Guillaumes",""
"","http://pt.wikipedia.org/wiki/Tenenkou_(cercle)","","","","","","","","","","","","Tenenkou (cercle)","Tenenkou",""
"","http://pt.wikipedia.org/wiki/Recas","","","","","","","","","","","","Recas","Recas",""
"","http://pt.wikipedia.org/wiki/Aulander","","","","","","","","","","","","Aulander","Aulander",""
"","http://pt.wikipedia.org/wiki/Donja_Trešnjica","","","","","","","","","","","","Donja Trešnjica","Donja Trešnjica",""
"","http://pt.wikipedia.org/wiki/Rio_Chari","","","","","","","","","","","","Rio Chari","Rio Chari",""
"","http://pt.wikipedia.org/wiki/Gangbuk-gu","","","","","","","","","","","","Gangbuk-gu","Gangbuk-gu;;강북구 (Hangul)",""
"","http://pt.wikipedia.org/wiki/Sainte-Marie_(Altos-Alpes)","","","","","","","","","","","","Sainte-Marie (Altos-Alpes)","Sainte-Marie",""
