"historicalName","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","http://pt.wikipedia.org/wiki/98_Tauri","","","","","","","","","","","","98 Tauri","98 Taurik Tauri","HD 31592, HIP 23088"
"","http://pt.wikipedia.org/wiki/23163_2000_FG49","","","","","","","","","","","","23163 2000 FG49","2000 FG49",""
"","http://pt.wikipedia.org/wiki/Foug","","","","","","","","","","","","Foug","Foug",""
"","http://pt.wikipedia.org/wiki/Aeroporto_de_Santana_do_Araguaia","","","","","","","","","","","","Aeroporto de Santana do Araguaia","Aeroporto de Santana do Araguaia",""
"","http://pt.wikipedia.org/wiki/Bülstedt","","","","","","","","","","","","Bülstedt","Bülstedt",""
"","http://pt.wikipedia.org/wiki/Camarillo","","","","","","","","","","","","Camarillo","Camarillo",""
"","http://pt.wikipedia.org/wiki/Woodlawn_(Ohio)","","","","","","","","","","","","Woodlawn (Ohio)","Woodlawn",""
"","http://pt.wikipedia.org/wiki/Nentershausen_(Renânia-Palatinado)","","","","","","","","","","","","Nentershausen (Renânia-Palatinado)","Nentershausen",""
"","http://pt.wikipedia.org/wiki/Window_Rock","","","","","","","","","","","","Window Rock","Window Rock",""
"","http://pt.wikipedia.org/wiki/119_Centauri","","","","","","","","","","","","119 Centauri","119 CentauriG Centauri","HD 108257, HIP 60710"
"","http://pt.wikipedia.org/wiki/Akodia","","","","","","","","","","","","Akodia","Akodia",""
"","http://pt.wikipedia.org/wiki/Gongga_Shan","","","","","","","","","","","","Gongga Shan","Gongga Shan",""
"","http://pt.wikipedia.org/wiki/San_Felipe_(Guanajuato)","","","","","","","","","","","","San Felipe (Guanajuato)","San Felipe;;San Felipe Torres Mochas",""
"","http://pt.wikipedia.org/wiki/Rio_Bidiliţa","","","","","","","","","","","","Rio Bidiliţa","Rio Bidiliţa",""
"","http://pt.wikipedia.org/wiki/Winfield_(Illinois)","","","","","","","","","","","","Winfield (Illinois)","Winfield",""
"","http://pt.wikipedia.org/wiki/(82081)_2001_BC40","","","","","","","","","","","","(82081) 2001 BC40","2001 BC40",""
"","http://pt.wikipedia.org/wiki/Saint-André-les-Vergers","","","","","","","","","","","","Saint-André-les-Vergers","Saint-André-les-Vergers",""
"","http://pt.wikipedia.org/wiki/Santo_Amaro_(Bahia)","","","","","","""Maro Maro"";;""Pérola do Recôncavo"";;""Santinho;;Santo Amaro da Purificação""","","","","","","Santo Amaro (Bahia)","Santo Amaro",""
"","http://pt.wikipedia.org/wiki/Monmouth_(Oregon)","","","","","","","","","","","","Monmouth (Oregon)","Monmouth",""
"","http://pt.wikipedia.org/wiki/Lago_Spilauersee","","","","","","","","","","","","Lago Spilauersee","Lago Spilauersee",""
"","http://pt.wikipedia.org/wiki/Ojacastro","","","","","","","","","","","","Ojacastro","Ojacastro",""
"","http://pt.wikipedia.org/wiki/Suharno","","","","","","","","","","","","Suharno","Suharno",""
"","http://pt.wikipedia.org/wiki/Grand-Champ","","","","","","","","","","","","Grand-Champ","Grand-Champ",""
"","http://pt.wikipedia.org/wiki/Mutuípe","","","","","","Mutum","","","","","","Mutuípe","Mutuípe - Bahia",""
"","http://pt.wikipedia.org/wiki/Aubigny_(Vendeia)","","","","","","","","","","","","Aubigny (Vendeia)","Aubigny",""
"","http://pt.wikipedia.org/wiki/Rusio","","","","","","","","","","","","Rusio","Rusiu",""
"","http://pt.wikipedia.org/wiki/Estação_Juan_Pablo_Duarte","","","","","","","","","","","","Estação Juan Pablo Duarte","Juan Pablo Duarte",""
"","http://pt.wikipedia.org/wiki/28962_2001_FL117","","","","","","","","","","","","28962 2001 FL117","2001 FL117",""
"","http://pt.wikipedia.org/wiki/(20563)_1999_RG121","","","","","","","","","","","","(20563) 1999 RG121","1999 RG121",""
"","http://pt.wikipedia.org/wiki/Altensteig","","","","","","","","","","","","Altensteig","Altensteig",""
