"historicalName","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","http://pt.wikipedia.org/wiki/Rutherford_College","","","","","","","","","","","","Rutherford College","Rutherford College",""
"","http://pt.wikipedia.org/wiki/36129_1999_RW156","","","","","","","","","","","","36129 1999 RW156","1999 RW156",""
"","http://pt.wikipedia.org/wiki/25546_1999_XL164","","","","","","","","","","","","25546 1999 XL164","1999 XL164",""
"","http://pt.wikipedia.org/wiki/Condado_de_Fulton_(Geórgia)","","","","","","","","","","","","Condado de Fulton (Geórgia)","Fulton",""
"","http://pt.wikipedia.org/wiki/Cubry-lès-Faverney","","","","","","","","","","","","Cubry-lès-Faverney","Cubry-lès-Faverney",""
"","http://pt.wikipedia.org/wiki/Elkmont","","","","","","","","","","","","Elkmont","Elkmont",""
"","http://pt.wikipedia.org/wiki/Roth_an_der_Our","","","","","","","","","","","","Roth an der Our","Roth an der Our",""
"","http://pt.wikipedia.org/wiki/Rio_Mouro","","","","","","","","","","","","Rio Mouro","Mouro",""
"","http://pt.wikipedia.org/wiki/Kalis_(Albânia)","","","","","","","","","","","","Kalis (Albânia)","Kalis",""
"","http://pt.wikipedia.org/wiki/Großrückerswalde","","","","","","","","","","","","Großrückerswalde","Großrückerswalde",""
"","http://pt.wikipedia.org/wiki/Rosarinho","","","","","","","","","","","","Rosarinho","Rosarinho",""
"","http://pt.wikipedia.org/wiki/Webb_(Mississippi)","","","","","","","","","","","","Webb (Mississippi)","Webb",""
"","http://pt.wikipedia.org/wiki/Courbillac","","","","","","","","","","","","Courbillac","Courbillac",""
"","http://pt.wikipedia.org/wiki/Araguaçu","","","","","","","","","","","","Araguaçu","Araguaçu",""
"","http://pt.wikipedia.org/wiki/32762_1981_ER32","","","","","","","","","","","","32762 1981 ER32","1981 ER32",""
"","http://pt.wikipedia.org/wiki/(73120)_2002_GS55","","","","","","","","","","","","(73120) 2002 GS55","2002 GS55",""
"","http://pt.wikipedia.org/wiki/Casamicciola_Terme","","","","","","","","","","","","Casamicciola Terme","Casamicciola Terme",""
"","http://pt.wikipedia.org/wiki/Grigneuseville","","","","","","","","","","","","Grigneuseville","Grigneuseville",""
"","http://pt.wikipedia.org/wiki/Saint-Haon","","","","","","","","","","","","Saint-Haon","Saint-Haon",""
"","http://pt.wikipedia.org/wiki/28100_1998_RG69","","","","","","","","","","","","28100 1998 RG69","1998 RG69",""
"","http://pt.wikipedia.org/wiki/Herrenberg","","","","","","","","","","","","Herrenberg","Herrenberg",""
"","http://pt.wikipedia.org/wiki/Chi3_Sagittarii","","","","","","","","","","","","Chi3 Sagittarii","χ3 Sagitarii","49 Sagitarii (Designação de Flamsteed), HD 182416, HIP 95503"
"","http://pt.wikipedia.org/wiki/27174_1999_BB2","","","","","","","","","","","","27174 1999 BB2","1999 BB2",""
"","http://pt.wikipedia.org/wiki/Parada_de_Todeia","","","","","","","","","","","","Parada de Todeia","Parada de Todeia",""
"","http://pt.wikipedia.org/wiki/32832_1992_EB2","","","","","","","","","","","","32832 1992 EB2","1992 EB2",""
"","http://pt.wikipedia.org/wiki/Glamondans","","","","","","","","","","","","Glamondans","Glamondans",""
"","http://pt.wikipedia.org/wiki/Estádio_Lauro_Assunção","","","","","","Lauro Assunção","","","","","","Estádio Lauro Assunção","Estádio Lauro Assunção;;Lauro Assunção",""
"","http://pt.wikipedia.org/wiki/10021_Henja","","","","","","","","","","","","10021 Henja","Henja",""
