"historicalName","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","http://pt.wikipedia.org/wiki/Womelsdorf_(Pensilvânia)","","","","","","","","","","","","Womelsdorf (Pensilvânia)","Womelsdorf",""
"","http://pt.wikipedia.org/wiki/Lago_Sírio","","","","","","","","","","","","Lago Sírio","Sírio",""
"","http://pt.wikipedia.org/wiki/26376_Roborosa","","","","","","","","","","","","26376 Roborosa","Roborosa",""
"","http://pt.wikipedia.org/wiki/Naknek","","","","","","","","","","","","Naknek","Naknek",""
"","http://pt.wikipedia.org/wiki/36446_Cinodapistoia","","","","","","","","","","","","36446 Cinodapistoia","Cinodapistoia",""
"","http://pt.wikipedia.org/wiki/Cabo_Frio","","","","","","","","","","","","Cabo Frio","Cabo Frio",""
"","http://pt.wikipedia.org/wiki/Oriental_(Carolina_do_Norte)","","","","","","","","","","","","Oriental (Carolina do Norte)","Oriental",""
"","http://pt.wikipedia.org/wiki/Semur-en-Auxois","","","","","","","","","","","","Semur-en-Auxois","Semur-en-Auxois",""
"","http://pt.wikipedia.org/wiki/Montliot-et-Courcelles","","","","","","","","","","","","Montliot-et-Courcelles","Montliot-et-Courcelles",""
"","http://pt.wikipedia.org/wiki/Valcolla","","","","","","","","","","","","Valcolla","Valcolla",""
"","http://pt.wikipedia.org/wiki/Ahigal_dos_Azeiteros","","","","","","","","","","","","Ahigal dos Azeiteros","Ahigal de los Aceiteros;;Ahigal dos Azeiteros",""
"","http://pt.wikipedia.org/wiki/Bonfinópolis","","","","","","Bonfi","","","","","","Bonfinópolis","Bonfinópolis",""
"","http://pt.wikipedia.org/wiki/(74368)_1998_WG41","","","","","","","","","","","","(74368) 1998 WG41","1998 WG41",""
"","http://pt.wikipedia.org/wiki/Fêche-l'Église","","","","","","","","","","","","Fêche-l'Église","Fêche-l'Église",""
"","http://pt.wikipedia.org/wiki/Vigoux","","","","","","","","","","","","Vigoux","Vigoux",""
"","http://pt.wikipedia.org/wiki/24286_1999_XU188","","","","","","","","","","","","24286 1999 XU188","1999 XU188",""
"","http://pt.wikipedia.org/wiki/Niederweiler_(Bitburg-Prüm)","","","","","","","","","","","","Niederweiler (Bitburg-Prüm)","Niederweiler",""
"","http://pt.wikipedia.org/wiki/Comuna_de_Raszków","","","","","","","","","","","","Comuna de Raszków","Raszków",""
"","http://pt.wikipedia.org/wiki/Cagnò","","","","","","","","","","","","Cagnò","Cagnò",""
"","http://pt.wikipedia.org/wiki/Moose_Wilson_Road_(Wyoming)","","","","","","","","","","","","Moose Wilson Road (Wyoming)","Moose Wilson Road",""
"","http://pt.wikipedia.org/wiki/Estação_Dom_Bosco","","","","","","","","","","","","Estação Dom Bosco","18px|link=CPTMDom Bosco",""
"","http://pt.wikipedia.org/wiki/Rurey","","","","","","","","","","","","Rurey","Rurey",""
"","http://pt.wikipedia.org/wiki/Merghindeal","","","","","","","","","","","","Merghindeal","Merghindeal",""
"","http://pt.wikipedia.org/wiki/Huriel","","","","","","","","","","","","Huriel","Huriel",""
"","http://pt.wikipedia.org/wiki/NGC_3060","","","","","","","","","","","","NGC 3060","3060, UGC 5338, MCG 3-26-2, ZWG 93.3, IRAS09535+1704, PGC 28680;;NGC 3060",""
"","http://pt.wikipedia.org/wiki/Gruissan","","","","","","","","","","","","Gruissan","Gruissan",""
"","http://pt.wikipedia.org/wiki/28537_2000_DJ106","","","","","","","","","","","","28537 2000 DJ106","2000 DJ106",""
"","http://pt.wikipedia.org/wiki/Upsilon_Cygni","","","","","","","","","","","","Upsilon Cygni","υ Cygni","66 Cygni (Designação de Flamsteed), HD 202904, HIP 105138"
"","http://pt.wikipedia.org/wiki/NGC_3139","","","","","","","","","","","","NGC 3139","3139, MCG -2-26-34, NPM1G -11.0259, PGC 29583;;NGC 3139",""
"","http://pt.wikipedia.org/wiki/Machault_(Sena_e_Marne)","","","","","","","","","","","","Machault (Sena e Marne)","Machault",""
"","http://pt.wikipedia.org/wiki/Alto_de_Santana","","","","","","","","","","","","Alto de Santana","Alto de Santana",""
"","http://pt.wikipedia.org/wiki/Shongom","","","","","","","","","","","","Shongom","Shongom",""
"","http://pt.wikipedia.org/wiki/Calanhel","","","","","","","","","","","","Calanhel","Calanhel",""
"","http://pt.wikipedia.org/wiki/Lavit","","","","","","","","","","","","Lavit","Lavit",""
"","http://pt.wikipedia.org/wiki/Holdenville","","","","","","","","","","","","Holdenville","Holdenville",""
"","http://pt.wikipedia.org/wiki/Melchor_Ocampo_(Nuevo_León)","","","","","","","","","","","","Melchor Ocampo (Nuevo León)","Melchor Ocampo",""
"","http://pt.wikipedia.org/wiki/30569_2001_OG94","","","","","","","","","","","","30569 2001 OG94","2001 OG94",""
"","http://pt.wikipedia.org/wiki/26198_1997_GJ13","","","","","","","","","","","","26198 1997 GJ13","1997 GJ13",""
"","http://pt.wikipedia.org/wiki/4304_Geichenko","","","","","","","","","","","","4304 Geichenko","Geichenko",""
"","http://pt.wikipedia.org/wiki/Castellaneta","","","","","","","","","","","","Castellaneta","Castellaneta;;San Nicola",""
"","http://pt.wikipedia.org/wiki/Gillham","","","","","","","","","","","","Gillham","Gillham",""
"","http://pt.wikipedia.org/wiki/Erin_Springs","","","","","","","","","","","","Erin Springs","Erin Springs",""
"","http://pt.wikipedia.org/wiki/31046_1996_NU4","","","","","","","","","","","","31046 1996 NU4","1996 NU4",""
"","http://pt.wikipedia.org/wiki/Rio_Dâlga","","","","","","","","","","","","Rio Dâlga","Rio Dâlga",""
"","http://pt.wikipedia.org/wiki/Lentföhrden","","","","","","","","","","","","Lentföhrden","Lentföhrden",""
"","http://pt.wikipedia.org/wiki/19528_Delloro","","","","","","","","","","","","19528 Delloro","Delloro",""
"","http://pt.wikipedia.org/wiki/Oilton_(Texas)","","","","","","","","","","","","Oilton (Texas)","Oilton",""
"","http://pt.wikipedia.org/wiki/Condado_de_Flathead","","","","","","","","","","","","Condado de Flathead","Flathead",""
"","http://pt.wikipedia.org/wiki/Seymour_(Texas)","","","","","","","","","","","","Seymour (Texas)","Seymour",""
"","http://pt.wikipedia.org/wiki/Boinville-en-Mantois","","","","","","","","","","","","Boinville-en-Mantois","Boinville-en-Mantois",""
"","http://pt.wikipedia.org/wiki/Brianny","","","","","","","","","","","","Brianny","Brianny",""
"","http://pt.wikipedia.org/wiki/34222_2000_QS85","","","","","","","","","","","","34222 2000 QS85","2000 QS85",""
"","http://pt.wikipedia.org/wiki/Muggendorf_(Baixa_Áustria)","","","","","","","","","","","","Muggendorf (Baixa Áustria)","Muggendorf",""
"","http://pt.wikipedia.org/wiki/Dechow","","","","","","","","","","","","Dechow","Dechow",""
"","http://pt.wikipedia.org/wiki/19656_Simpkins","","","","","","","","","","","","19656 Simpkins","Simpkins",""
"","http://pt.wikipedia.org/wiki/Condado_de_Cocke_(Tennessee)","","","","","","","","","","","","Condado de Cocke (Tennessee)","Cocke",""
"","http://pt.wikipedia.org/wiki/Sortosville-en-Beaumont","","","","","","","","","","","","Sortosville-en-Beaumont","Sortosville-en-Beaumont",""
"","http://pt.wikipedia.org/wiki/1260_Walhalla","","","","","","","","","","","","1260 Walhalla","Walhalla",""
"","http://pt.wikipedia.org/wiki/Pradines_(Corrèze)","","","","","","","","","","","","Pradines (Corrèze)","Pradines",""
"","http://pt.wikipedia.org/wiki/24128_Hipsman","","","","","","","","","","","","24128 Hipsman","Hipsman",""
"","http://pt.wikipedia.org/wiki/Gaylord_(Minnesota)","","","","","","","","","","","","Gaylord (Minnesota)","Gaylord",""
"","http://pt.wikipedia.org/wiki/Chaudron-en-Mauges","","","","","","","","","","","","Chaudron-en-Mauges","Chaudron-en-Mauges",""
"","http://pt.wikipedia.org/wiki/NGC_891","","","","","","","","","","","","NGC 891","891, PGC 9031, UGC 1831, MCG 7-5-46, ZWG 538.52, IRAS02195+4209;;NGC 891",""
"","http://pt.wikipedia.org/wiki/Saint-Médard-Nicourby","","","","","","","","","","","","Saint-Médard-Nicourby","Saint-Médard-Nicourby",""
"","http://pt.wikipedia.org/wiki/Ethridge","","","","","","","","","","","","Ethridge","Ethridge",""
"","http://pt.wikipedia.org/wiki/Fonte_de_Angeão","","","","","","","","","","","","Fonte de Angeão","Fonte de Angeão",""
"","http://pt.wikipedia.org/wiki/Mangaratiba","","","","","","","","","","","","Mangaratiba","Mangaratiba",""
"","http://pt.wikipedia.org/wiki/Schluchsee","","","","","","","","","","","","Schluchsee","Schluchsee",""
"","http://pt.wikipedia.org/wiki/Achipatti","","","","","","","","","","","","Achipatti","Achipatti",""
"","http://pt.wikipedia.org/wiki/Douelle","","","","","","","","","","","","Douelle","Douelle",""
"","http://pt.wikipedia.org/wiki/23117_2000_AC25","","","","","","","","","","","","23117 2000 AC25","2000 AC25",""
"","http://pt.wikipedia.org/wiki/2010_WG9","","","","","","","","","","","","2010 WG9","2010 WG9",""
"","http://pt.wikipedia.org/wiki/NGC_795","","","","","","","","","","","","NGC 795","795, PGC 7552, ESO 153-8, AM 0158-560;;NGC 795",""
"","http://pt.wikipedia.org/wiki/Rio_Chiţcani","","","","","","","","","","","","Rio Chiţcani","Rio Chiţcani",""
"","http://pt.wikipedia.org/wiki/Fábrica_Fagus","","","","","","","","","","","","Fábrica Fagus","",""
"","http://pt.wikipedia.org/wiki/24514_2001_BB58","","","","","","","","","","","","24514 2001 BB58","2001 BB58",""
