"historicalName","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","http://pt.wikipedia.org/wiki/Campolara","","","","","","","","","","","","Campolara","Campolara",""
"","http://pt.wikipedia.org/wiki/1330_Spiridonia","","","","","","","","","","","","1330 Spiridonia","Spiridonia",""
"","http://pt.wikipedia.org/wiki/Reserva_Florestal_Sinharaja","","","","","","","","","","","","Reserva Florestal Sinharaja","Reserva Florestal Sinharaja",""
"","http://pt.wikipedia.org/wiki/Lovero","","","","","","","","","","","","Lovero","Lovero",""
"","http://pt.wikipedia.org/wiki/19384_Winton","","","","","","","","","","","","19384 Winton","Winton",""
"","http://pt.wikipedia.org/wiki/NGC_4595","","","","","","","","","","","","NGC 4595","4595, UGC 7826, MCG 3-32-81, ZWG 99.106, VCC 1811, IRAS12373+1534, PGC 42396;;NGC 4595",""
"","http://pt.wikipedia.org/wiki/Sériers","","","","","","","","","","","","Sériers","Sériers",""
"","http://pt.wikipedia.org/wiki/Trenton_(Nova_Jérsei)","","","","","","","","","","","","Trenton (Nova Jérsei)","Trenton",""
"","http://pt.wikipedia.org/wiki/Piracicaba","","","","","","""Atenas Paulista;;""Florença Paulista"";;A Noiva da Colina""","","","","","","Piracicaba","Piracicaba",""
"","http://pt.wikipedia.org/wiki/28071_1998_QC26","","","","","","","","","","","","28071 1998 QC26","1998 QC26",""
"","http://pt.wikipedia.org/wiki/Bartholomä","","","","","","","","","","","","Bartholomä","Bartholomä",""
"","http://pt.wikipedia.org/wiki/34230_2000_QF93","","","","","","","","","","","","34230 2000 QF93","2000 QF93",""
"","http://pt.wikipedia.org/wiki/Arakht","","","","","","","","","","","","Arakht","Arakht",""
"","http://pt.wikipedia.org/wiki/Kalanjevci","","","","","","","","","","","","Kalanjevci","Kalanjevci",""
"","http://pt.wikipedia.org/wiki/Santa_Eugènia_(Baleares)","","","","","","","","","","","","Santa Eugènia (Baleares)","Santa Eugènia",""
"","http://pt.wikipedia.org/wiki/34418_2000_SO3","","","","","","","","","","","","34418 2000 SO3","2000 SO3",""
"","http://pt.wikipedia.org/wiki/Sankt_Georgen_am_Längsee","","","","","","","","","","","","Sankt Georgen am Längsee","Sankt Georgen am Längsee",""
"","http://pt.wikipedia.org/wiki/Saint-Connec","","","","","","","","","","","","Saint-Connec","Saint-Connec",""
"","http://pt.wikipedia.org/wiki/Villa_Santa_Lucia","","","","","","","","","","","","Villa Santa Lucia","Villa Santa Lucia",""
"","http://pt.wikipedia.org/wiki/Miami_Springs","","","","","","","","","","","","Miami Springs","Miami Springs",""
"","http://pt.wikipedia.org/wiki/Heimsheim","","","","","","","","","","","","Heimsheim","Heimsheim",""
"","http://pt.wikipedia.org/wiki/Vedra","","","","","","","","","","","","Vedra","Vedra",""
"","http://pt.wikipedia.org/wiki/Lena_(Mississippi)","","","","","","","","","","","","Lena (Mississippi)","Lena",""
"","http://pt.wikipedia.org/wiki/West_Warwick","","","","","","","","","","","","West Warwick","West Warwick",""
"","http://pt.wikipedia.org/wiki/Keys_(Oklahoma)","","","","","","","","","","","","Keys (Oklahoma)","Keys",""
"","http://pt.wikipedia.org/wiki/Aistala","","","","","","","","","","","","Aistala","Aistala",""
"","http://pt.wikipedia.org/wiki/Lago_Tanganica","","","","","","","","","","","","Lago Tanganica","Tanganica",""
"","http://pt.wikipedia.org/wiki/Malloa","","","","","","","","","","","","Malloa","Malloa",""
"","http://pt.wikipedia.org/wiki/Čukurovac","","","","","","","","","","","","Čukurovac","Čukurovac",""
"","http://pt.wikipedia.org/wiki/Mon_(Grisões)","","","","","","","","","","","","Mon (Grisões)","Mon",""
