"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","","http://pt.wikipedia.org/wiki/Charles_Lennox,_3.º_Duque_de_Richmond","","","","","","","","","","","","Charles Lennox, 3.º Duque de Richmond","Charles Lennox",""
"","","http://pt.wikipedia.org/wiki/Harune_Arraxide","","","","","","","","","","","","Harune Arraxide","Hārūn al-Rashīd;;هارون الرشيد",""
"","","http://pt.wikipedia.org/wiki/Valdir_Raupp","","","","","","","","","","","","Valdir Raupp","Valdir Raupp",""
"","","http://pt.wikipedia.org/wiki/Maria_Anna_Lindmayr","","","","","","","","","","","","Maria Anna Lindmayr","Maria Anna Lindmayr",""
"","","http://pt.wikipedia.org/wiki/Paul_Wolfskehl","","","","","","","","","","","","Paul Wolfskehl","Paul Wolfskehl",""
"Antônio Carlos de Sousa Pereira","","http://pt.wikipedia.org/wiki/Tonico_Pereira","","","","","","","","","","","","Tonico Pereira","Tonico Pereira",""
"","","http://pt.wikipedia.org/wiki/Noritada_Saneyoshi","","","","","","","","","","","","Noritada Saneyoshi","Noritada Saneyoshi",""
"Alejandro Manuel Jones Cortez","","http://pt.wikipedia.org/wiki/Alejandro_Jones","","","","","","","","","","","","Alejandro Jones","Alejandro Jones",""
"","","http://pt.wikipedia.org/wiki/Laurêncio_(prefeito_pretoriano)","","","","","","","","","","","","Laurêncio (prefeito pretoriano)","Laurêncio",""
"Maria Cristina Henriques de Oliveira","","http://pt.wikipedia.org/wiki/Maria_Henrique","","","","","","","","","","","","Maria Henrique","Maria Henrique",""
"","","http://pt.wikipedia.org/wiki/Marko_Klok","","","","","","","","","","","","Marko Klok","Marko Klok;;Marko Klok22px",""
"","","http://pt.wikipedia.org/wiki/Kanon_Fukuda","","","","","","Kanyon (かにょん), Kanin (かにょん)","","","","","","Kanon Fukuda","Kanon Fukuda",""
"","","http://pt.wikipedia.org/wiki/Martin_Boquist","","","","","","","","","","","","Martin Boquist","Martin Boquist;;Sven Martin Boquist",""
"","","http://pt.wikipedia.org/wiki/Henry_Clifton_Sorby","","","","","","","","","","","","Henry Clifton Sorby","Henry Clifton Sorby",""
"","","http://pt.wikipedia.org/wiki/Fritz_Kachler","","","","","","","","","","","","Fritz Kachler","Fritz Kachler",""
"Rafael Ernesto Novoa Vargas","","http://pt.wikipedia.org/wiki/Rafael_Novoa","","","","","","","","","","","","Rafael Novoa","Rafael Novoa",""
"","","http://pt.wikipedia.org/wiki/Gyula_Horn","","","","","","","","","","","","Gyula Horn","Gyula Horn",""
"","","http://pt.wikipedia.org/wiki/Clésio_Andrade","","","","","","","","","","","","Clésio Andrade","Clésio Andrade",""
"","","http://pt.wikipedia.org/wiki/Robert_Špehar","","","","","","","","","","","","Robert Špehar","Robert Špehar",""
"","","http://pt.wikipedia.org/wiki/Edgar_Booth","","","","","","","","","","","","Edgar Booth","Booth;;Edgar Booth",""
"","","http://pt.wikipedia.org/wiki/Tina_Dico","","","","","Tina Dickow","","","","","","","Tina Dico","Tina Dico",""
"Linda Evanstad","","http://pt.wikipedia.org/wiki/Linda_Evans","","","","","","","","","","","","Linda Evans","Linda Evans",""
"","","http://pt.wikipedia.org/wiki/Ferdi_Taygan","","","","","","","","","","","","Ferdi Taygan","Ferdi Taygan",""
"","","http://pt.wikipedia.org/wiki/Franz_Xaver_von_Zach","","","","","","","","","","","","Franz Xaver von Zach","Franz Xaver von Zach",""
"","","http://pt.wikipedia.org/wiki/Bart_De_Clercq","","","","","","","","","","","","Bart De Clercq","Bart De Clercq",""
"","","http://pt.wikipedia.org/wiki/Ubiratan_D'Ambrosio","","","","","","","","","","","","Ubiratan D'Ambrosio","Ubiratan D'Ambrosio",""
"","","http://pt.wikipedia.org/wiki/Günter_Gretschel","","","","","","","","","","","","Günter Gretschel","Günter Gretschel",""
"","","http://pt.wikipedia.org/wiki/Carlos_Dunga","","","","","","","","","","","","Carlos Dunga","Carlos Dunga",""
"","","http://pt.wikipedia.org/wiki/Reinaldo_Navia","","","","","","","","","","","","Reinaldo Navia","Reinaldo Marcelino Navia Amador;;Reinaldo Navia",""
"","","http://pt.wikipedia.org/wiki/Hayden_Christensen","","","","","","","","","","","","Hayden Christensen","Hayden Christensen",""
"","","http://pt.wikipedia.org/wiki/Michael_William_Russell","","","","","","","","","","","","Michael William Russell","Michael William Russell","Michael Russell"
"","","http://pt.wikipedia.org/wiki/Jenny_Lewis","","","","","Jennifer Diane Lewis","","","","","","","Jenny Lewis","Jenny Lewis",""
"","","http://pt.wikipedia.org/wiki/Danny_Blanchflower","","","","","","Danny Blanchflower","","","","","","Danny Blanchflower","Danny Blanchflower;;Robert Dennis ""Danny"" Blanchflower",""
"","","http://pt.wikipedia.org/wiki/Vladimir_Artemov","","","","","","","","","","","","Vladimir Artemov","Vladimir Artemov;;Vladimir Nikolaevich Artemov;;Владимир Артемов",""
