"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","","http://pt.wikipedia.org/wiki/Paul_Adam","","","","","","","","","","","","Paul Adam","",""
"","","http://pt.wikipedia.org/wiki/William_Wellesley-Pole,_3.º_Conde_de_Mornington","","","","","","","","","","","","William Wellesley-Pole, 3.º Conde de Mornington","3.º Conde de Mornington;;GCHPC",""
"","","http://pt.wikipedia.org/wiki/Gelmín_Rivas","","","","","","","","","","","","Gelmín Rivas","Gelmin Javier Rivas Boada;;Gelmin Rivas",""
"","","http://pt.wikipedia.org/wiki/Renner_Reis","","","","","Ivair dos Reis Gonçalves","","","","","","","Renner Reis","Renner",""
"","","http://pt.wikipedia.org/wiki/Barney_Ewell","","","","","","","","","","","","Barney Ewell","Barney Ewell",""
"Ilicz Glejzer","","http://pt.wikipedia.org/wiki/Elias_Gleizer","","","","","","","","","","","","Elias Gleizer","Elias Gleizer",""
"","","http://pt.wikipedia.org/wiki/Guilherme_Studart,_barão_de_Studart","","","","","","","","","","","","Guilherme Studart, barão de Studart","Guilherme Chambly Studart",""
"","","http://pt.wikipedia.org/wiki/Brunetto_Latini","","","","","","","","","","","","Brunetto Latini","Brunetto Latini",""
"","","http://pt.wikipedia.org/wiki/Bachana_Tskhadadze","","","","","","","","","","","","Bachana Tskhadadze","Bachana Tskhadadze",""
"","","http://pt.wikipedia.org/wiki/Vito_Volterra","","","","","","","","","","","","Vito Volterra","Vito Volterra",""
"","","http://pt.wikipedia.org/wiki/Christian_Potenza","","","","","","","","","","","","Christian Potenza","Christian Potenza",""
"","","http://pt.wikipedia.org/wiki/Lev_Grossman","","","","","","","","","","","","Lev Grossman","",""
"","","http://pt.wikipedia.org/wiki/Felipe_Magalhães_Novais","","","","","","","","","","","","Felipe Magalhães Novais","Felipe Magalhães Novais;;Paulista",""
"","","http://pt.wikipedia.org/wiki/Moacyr_Franco","","","","","Moacir de Oliveira Franco (nome de batismo)","","","","","","","Moacyr Franco","Moacyr Franco",""
"","","http://pt.wikipedia.org/wiki/Charles_Yeager","","","","","","","","","","","","Charles Yeager","Charles Yeager",""
"","","http://pt.wikipedia.org/wiki/Carlos_Bonavides","","","","","","","","","","","","Carlos Bonavides","Carlos Bonavides",""
"","","http://pt.wikipedia.org/wiki/Hermann-Ernst_Bolm","","","","","","","","","","","","Hermann-Ernst Bolm","Hermann-Ernst Bolm",""
"","","http://pt.wikipedia.org/wiki/John_Winter","","","","","","","","","","","","John Winter","John Winter",""
"","","http://pt.wikipedia.org/wiki/Nério_I_Acciaiuoli","","","","","","","","","","","","Nério I Acciaiuoli","Nério I Acciaiuoli",""
"","","http://pt.wikipedia.org/wiki/Roy_Worters","","","","","","Shrimp (Camarão)","","","","","","Roy Worters","Roy Worters",""
"","","http://pt.wikipedia.org/wiki/Dimitri_Peters","","","","","","","","","","","","Dimitri Peters","Dimitri Peters",""
"","","http://pt.wikipedia.org/wiki/Marie_Lehmann","","","","","","","","","","","","Marie Lehmann","Marie Lehmann",""
"Carlos Saura Atares","","http://pt.wikipedia.org/wiki/Carlos_Saura","","","","","","","","","","","","Carlos Saura","Carlos Saura",""
"","","http://pt.wikipedia.org/wiki/Carlos_I_de_Brunsvique-Volfembutel","","","","","","","","","","","","Carlos I de Brunsvique-Volfembutel","Carlos I",""
"","","http://pt.wikipedia.org/wiki/Walter_Becker_(ciclista)","","","","","","","","","","","","Walter Becker (ciclista)","Walter Becker",""
"","","http://pt.wikipedia.org/wiki/Don_McNeill","","","","","","","","","","","","Don McNeill","Don McNeill",""
"","","http://pt.wikipedia.org/wiki/Haakon_Haakonsson,_o_Jovem","","","","","","","","","","","","Haakon Haakonsson, o Jovem","Haakon Haakonsson",""
"","","http://pt.wikipedia.org/wiki/Psy_(cantor)","","","","","Park Jae-Sang (박재상)","","","","","","","Psy (cantor)","Psy",""
"","","http://pt.wikipedia.org/wiki/Hermann_Buchner","","","","","","","","","","","","Hermann Buchner","Hermann Buchner",""
"","","http://pt.wikipedia.org/wiki/Alfred_Rosmer","","","","","","","","","","","","Alfred Rosmer","Alfred Griot;;Alfred Rosmer",""
"","","http://pt.wikipedia.org/wiki/Mário_de_Noronha","","","","","","","","","","","","Mário de Noronha","Mário de Noronha",""
"","","http://pt.wikipedia.org/wiki/Don_Lynn_Anderson","","","","","","","","","","","","Don Lynn Anderson","Don Lynn Anderson",""
