"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","","http://pt.wikipedia.org/wiki/Marilena_Neacşu","","","","","","","","","","","","Marilena Neacşu","Marilena Neacşu",""
"","","http://pt.wikipedia.org/wiki/Kelly_Reilly","","","","","","","","","","","","Kelly Reilly","Kelly Reilly",""
"","","http://pt.wikipedia.org/wiki/Patrick_Côté","","","","","","","","","","","","Patrick Côté","Patrick Côté",""
"","","http://pt.wikipedia.org/wiki/Julio_César_Cáceres","","","","","","El Emperador","","","","","","Julio César Cáceres","Júlio César Cáceres;;Júlio César Cáceres López",""
"","","http://pt.wikipedia.org/wiki/Gianni_Ghidini","","","","","","","","","","","","Gianni Ghidini","Gianni Ghidini",""
"","","http://pt.wikipedia.org/wiki/Shin_Young-suk","","","","","","","","","","","","Shin Young-suk","Shin Young-Suk",""
"","","http://pt.wikipedia.org/wiki/Andrea_Ferro","","","","","Andrea Ferro","","","","","","","Andrea Ferro","Andrea Ferro",""
"","","http://pt.wikipedia.org/wiki/Wellington_Salgado_de_Oliveira","","","","","","","","","","","","Wellington Salgado de Oliveira","Wellington Salgado",""
"","","http://pt.wikipedia.org/wiki/Wilson_Shannon","","","","","","","","","","","","Wilson Shannon","Wilson Shannon",""
"José Eugênio Soares","","http://pt.wikipedia.org/wiki/Jô_Soares","","","","","","Jô;;Jô Soares","","","","","","Jô Soares","Jô Soares","Jô;;Jô Soares"
"","","http://pt.wikipedia.org/wiki/Joana_de_Castela","","","","","","","","","","","","Joana de Castela","Joana",""
"","","http://pt.wikipedia.org/wiki/Guilherme_I,_conde_de_Bolonha","","","","","","","","","","","","Guilherme I, conde de Bolonha","Guilherme I",""
"","","http://pt.wikipedia.org/wiki/Roger_Blandford","","","","","","","","","","","","Roger Blandford","Roger Blandford",""
"","","http://pt.wikipedia.org/wiki/Henry_Gerber","","","","","","","","","","","","Henry Gerber","Henry Gerber;;Henry Joseph Dittmar",""
"","","http://pt.wikipedia.org/wiki/Antonio_Arenas","","","","","","","","","","","","Antonio Arenas","Antonio Arenas",""
"Kathleen Moya Brady","","http://pt.wikipedia.org/wiki/Moya_Brady","","","","","","","","","","","","Moya Brady","Moya Brady",""
"","","http://pt.wikipedia.org/wiki/Alexandre_Comisetti","","","","","","","","","","","","Alexandre Comisetti","Alexandre Comisetti;;Comisetti",""
"","","http://pt.wikipedia.org/wiki/Fidel_Castro","","","","","","","","","","","","Fidel Castro","Fidel Castro",""
"","","http://pt.wikipedia.org/wiki/Anthony_Scaduto","","","","","","","","","","","","Anthony Scaduto","Anthony Scaduto",""
"","","http://pt.wikipedia.org/wiki/Geraldo_Ribeiro_de_Sousa_Resende","","","","","","","","","","","","Geraldo Ribeiro de Sousa Resende","Barão Geraldo de Resende;;Geraldo Ribeiro de Souza Rezende",""
"","","http://pt.wikipedia.org/wiki/Gilbert_Fowler_White","","","","","","","","","","","","Gilbert Fowler White","Gilbert Fowler White",""
"Demetrio Carta","","http://pt.wikipedia.org/wiki/Mino_Carta","","","","","","","","","","","","Mino Carta","Mino Carta",""
"","","http://pt.wikipedia.org/wiki/Jadwiga_Książek","","","","","","","","","","","","Jadwiga Książek","Jadwiga Książek22px;;Jadwiga Marko-Książek",""
"","","http://pt.wikipedia.org/wiki/Hermenegildo_Capelo","","","","","","","","","","","","Hermenegildo Capelo","Brito Capelo;;Hermenegildo Carlos de Brito Capelo",""
"","","http://pt.wikipedia.org/wiki/Patrick_Park","","","","","","","","","","","","Patrick Park","Patrick Park",""
"","","http://pt.wikipedia.org/wiki/Príncipe_Pretinho","","","","","José Luís da Costa","","","","","","","Príncipe Pretinho","Príncipe Pretinho",""
"","","http://pt.wikipedia.org/wiki/Marco_Parolo","","","","","","","","","","","","Marco Parolo","Marco Parolo",""
"","","http://pt.wikipedia.org/wiki/Alan_Fletcher","","","","","","","","","","","","Alan Fletcher","Alan Fletcher",""
"","","http://pt.wikipedia.org/wiki/Iridia_Salazar","","","","","","","","","","","","Iridia Salazar","Iridia Salazar Blanco",""
"Benjamin John Parrillo","","http://pt.wikipedia.org/wiki/Ben_Parrillo","","","","","","","","","","","","Ben Parrillo","Ben Parrillo",""
"","","http://pt.wikipedia.org/wiki/Becky_Sauerbrunn","","","","","","","","","","","","Becky Sauerbrunn","Becky Sauerbrunn;;Rebecca Elizabeth Sauerbrunn",""
"James Langston Edmund Caan","","http://pt.wikipedia.org/wiki/James_Caan","","","","","","","","","","","","James Caan","James Caan",""
"","","http://pt.wikipedia.org/wiki/Everlast","","","","","Erik Francis Schrody","","","","","","","Everlast","Everlast",""
"","","http://pt.wikipedia.org/wiki/Yuji_Sakakura","","","","","","","","","","","","Yuji Sakakura","Yuji Sakakura",""
"","","http://pt.wikipedia.org/wiki/Harry_Forbes","","","","","","","","","","","","Harry Forbes","Harry Forbes",""
"","","http://pt.wikipedia.org/wiki/Anders_Olsson_(escritor)","","","","","","","","","","","","Anders Olsson (escritor)","Anders Olsson",""
"","","http://pt.wikipedia.org/wiki/Danielle_Cormack","","","","","","","","","","","","Danielle Cormack","Danielle Cormack.",""
