"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","","http://pt.wikipedia.org/wiki/Pietro_Serantoni","","","","","","","","","","","","Pietro Serantoni","Pietro Serantoni",""
"","","http://pt.wikipedia.org/wiki/Catharine_Pendrel","","","","","","","","","","","","Catharine Pendrel","Catharine Pendrel",""
"","","http://pt.wikipedia.org/wiki/Barbara_Paulus","","","","","","","","","","","","Barbara Paulus","Barbara Paulus",""
"","","http://pt.wikipedia.org/wiki/Martim_Afonso_de_Melo_Coutinho","","","","","","","","","","","","Martim Afonso de Melo Coutinho","Martim Afonso de Melo Coutinho",""
"","","http://pt.wikipedia.org/wiki/Akakios_Kakiasvilis","","","","","","","","","","","","Akakios Kakiasvilis","Akakios Kakiasvilis",""
"","","http://pt.wikipedia.org/wiki/Gabriele_Veneziano","","","","","","","","","","","","Gabriele Veneziano","Gabriele Veneziano",""
"","","http://pt.wikipedia.org/wiki/Renée_Dwyer","","","","","","","","","","","","Renée Dwyer","Renee Dwyer",""
"Maria Lupicinia Viana de Paula Gigliotti","","http://pt.wikipedia.org/wiki/Cininha_de_Paula","","","","","","","","","","","","Cininha de Paula","Cininha de Paula",""
"","","http://pt.wikipedia.org/wiki/Roberto_Dudley,_1.º_Conde_de_Leicester","","","","","","","","","","","","Roberto Dudley, 1.º Conde de Leicester","Roberto Dudley",""
"","","http://pt.wikipedia.org/wiki/Wouter_Jolie","","","","","","","","","","","","Wouter Jolie","Wouter Jolie",""
"","","http://pt.wikipedia.org/wiki/Manami_Oku","","","","","","Maachan (まーちゃん)","","","","","","Manami Oku","Manami Oku",""
"","","http://pt.wikipedia.org/wiki/Nwankwo_Kanu","","","","","","El Rey, Papilo","","","","","","Nwankwo Kanu","Nwankwo Christian Nwosu Kanu;;Nwankwo Kanu",""
"","","http://pt.wikipedia.org/wiki/Arles_Castro","","","","","","","","","","","","Arles Castro","Arles Castro",""
"","","http://pt.wikipedia.org/wiki/Carlos_Alexandre_Torres","","","","","","Filho do capitão;;Torres","","","","","","Carlos Alexandre Torres","Alexandre Torres;;Carlos Alexandre Torres",""
"","","http://pt.wikipedia.org/wiki/Kosovare_Asllani","","","","","","Kosse","","","","","","Kosovare Asllani","Kosovare Asllani",""
"","","http://pt.wikipedia.org/wiki/Apolo_(Bíblia)","","","","","","","","","","","","Apolo (Bíblia)","Santo Apolo",""
"","","http://pt.wikipedia.org/wiki/Emma_Lazarus","","","","","","","","","","","","Emma Lazarus","",""
"","","http://pt.wikipedia.org/wiki/Joel_Spencer","","","","","","","","","","","","Joel Spencer","Joel Spencer",""
"","","http://pt.wikipedia.org/wiki/Junior_Malanda","","","","","","","","","","","","Junior Malanda","Bernard Malanda-Adje;;Junior Malanda",""
"","","http://pt.wikipedia.org/wiki/Dudu_do_Banjo","","","","","Francisco Eduardo de Souza Pereira","Dudu","","","","","","Dudu do Banjo","Dudu do Banjo",""
"","","http://pt.wikipedia.org/wiki/Joachim_Löw","","","","","","Jogi","","","","","","Joachim Löw","Joachim Löw",""
"","","http://pt.wikipedia.org/wiki/Thales_Pan_Chacon","","","","","","","","","","","","Thales Pan Chacon","Thales Pan Chacon",""
"","","http://pt.wikipedia.org/wiki/Robert_Atkins_(ilustrador)","","","","","","","","","","","","Robert Atkins (ilustrador)","Robert Atkins",""
"","","http://pt.wikipedia.org/wiki/Corbiniano","","","","","","","","","","","","Corbiniano","São Corbiniano",""
"","","http://pt.wikipedia.org/wiki/Antônio_Ricardo_do_Nascimento","","","","","","","","","","","","Antônio Ricardo do Nascimento","Antônio Ricardo do Nascimento;;Major Antônio R. do Nascimento",""
"","","http://pt.wikipedia.org/wiki/Ernest_Fourneau","","","","","","","","","","","","Ernest Fourneau","Ernest Fourneau",""
"Thiago Corrêa Lima de Azevedo Rodrigues","","http://pt.wikipedia.org/wiki/Thiago_Rodrigues","","","","","","","","","","","","Thiago Rodrigues","Thiago Rodrigues",""
"","","http://pt.wikipedia.org/wiki/Gordon_Johnson","","","","","","","","","","","","Gordon Johnson","Gordon Johnson",""
"","","http://pt.wikipedia.org/wiki/Stevie_Young","","","","","Stephen Crawford Young","","","","","","","Stevie Young","Stevie Young",""
"","","http://pt.wikipedia.org/wiki/Alvy_Ray_Smith","","","","","","","","","","","","Alvy Ray Smith","Alvy Ray Smith",""
"","","http://pt.wikipedia.org/wiki/Grecia_Colmenares","","","","","","","","","","","","Grecia Colmenares","Grecia Dolores Comenares Mieussens",""
"","","http://pt.wikipedia.org/wiki/Mario_Cuenca","","","","","","Super Mario","","","","","","Mario Cuenca","Cuenca;;Mario Cuenca",""
"Flávia Alessandra Martins da Costa","","http://pt.wikipedia.org/wiki/Flávia_Alessandra","","","","","","","","","","","","Flávia Alessandra","Flávia Alessandra",""
"","","http://pt.wikipedia.org/wiki/Boleslau_I_da_Polónia","","","","","","","","","","","","Boleslau I da Polónia","Boleslau I",""
