"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","","http://pt.wikipedia.org/wiki/Juvenal_de_Araújo","","","","","","","","","","","","Juvenal de Araújo","Juvenal de Araújo","Juvenal Henriques de Araújo"
"","","http://pt.wikipedia.org/wiki/Giuseppe_Garibaldi","","","","","","","","","","","","Giuseppe Garibaldi","Giuseppe Garibaldi",""
"","","http://pt.wikipedia.org/wiki/Ilie_Dumitrescu","","","","","","","","","","","","Ilie Dumitrescu","Ilie Dumitrescu",""
"","","http://pt.wikipedia.org/wiki/Takuro","","","","","Takuro Kubo","","","","","","","Takuro","Takuro",""
"","","http://pt.wikipedia.org/wiki/Gerrit_Glomser","","","","","","","","","","","","Gerrit Glomser","Gerrit Glomser",""
"","","http://pt.wikipedia.org/wiki/Wang_Qiang","","","","","","","","","","","","Wang Qiang","Wang Qiang;;王蔷",""
"","","http://pt.wikipedia.org/wiki/Wilhelm_Brinkmann","","","","","","","","","","","","Wilhelm Brinkmann","Wilhelm Brinkmann",""
"","","http://pt.wikipedia.org/wiki/Porfírio","","","","","","","","","","","","Porfírio","Malco, ou Melech;;Porfírio de Tiro",""
"Francesco Rosario Capra","","http://pt.wikipedia.org/wiki/Frank_Capra","","","","","","","","","","","","Frank Capra","Frank Capra",""
"","","http://pt.wikipedia.org/wiki/Robert_Siodmak","","","","","","","","","","","","Robert Siodmak","Robert Siodmak",""
"","","http://pt.wikipedia.org/wiki/Joe_Glanfield","","","","","","","","","","","","Joe Glanfield","Joe Glanfield;;Jonathan ""Joe"" James Glanfield",""
"","","http://pt.wikipedia.org/wiki/Alexis_Mikhailovich_da_Rússia","","","","","","","","","","","","Alexis Mikhailovich da Rússia","Alexei Mikhailovich",""
"","","http://pt.wikipedia.org/wiki/Jean_Van_Steen","","","","","","","","","","","","Jean Van Steen","Jean Van Steen",""
"","","http://pt.wikipedia.org/wiki/Isaac_Barrow","","","","","","","","","","","","Isaac Barrow","Isaac Barrow",""
"","","http://pt.wikipedia.org/wiki/DJ_Mind","","","","","José Luis Silva","","","","","","","DJ Mind","Dj Ze Luis (aka Mind)",""
"","","http://pt.wikipedia.org/wiki/Klaus_Fuchs","","","","","","","","","","","","Klaus Fuchs","Klaus Fuchs",""
"","","http://pt.wikipedia.org/wiki/Hermann_von_Fehling","","","","","","","","","","","","Hermann von Fehling","Hermann von Fehling",""
"","","http://pt.wikipedia.org/wiki/Albert_Hofmann","","","","","","","","","","","","Albert Hofmann","Albert Hofmann",""
"","","http://pt.wikipedia.org/wiki/Dhu_Moraes","","","","","","Dudu Moraes","","","","","","Dhu Moraes","Dhu Moraes","Dudu Moraes"
"","","http://pt.wikipedia.org/wiki/Muraro","","","","","Heriberto Leandro Muraro","","","","","","","Muraro","Muraro",""
"","","http://pt.wikipedia.org/wiki/Edith_Melba_Artois","","","","","","","","","","","","Edith Melba Artois","Edith Melba Artois",""
"","El Greco","http://pt.wikipedia.org/wiki/El_Greco","","","","","","","","","","","","El Greco","Doménikos Theotokópoulos;;Δομήνικος Θεοτοκόπουλος",""
"","","http://pt.wikipedia.org/wiki/William_Henry_Press","","","","","","","","","","","","William Henry Press","William Henry Press",""
"","","http://pt.wikipedia.org/wiki/Herberto_Sales","","","","","","","","","","","","Herberto Sales","",""
