"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","","http://pt.wikipedia.org/wiki/Míkis_Theodorákis","","","","","","","","","","","","Míkis Theodorákis","Míkis Theodorákis",""
"Paulo Ramos","","http://pt.wikipedia.org/wiki/Paulo_Ramos_(ator)","","","","","","","","","","","","Paulo Ramos (ator)","Paulo Ramos",""
"","","http://pt.wikipedia.org/wiki/Lúcio_Cardim","","","","","Lúcio Cardim","","","","","","","Lúcio Cardim","Lúcio Cardim",""
"","","http://pt.wikipedia.org/wiki/Lauriberto_José_Reyes","","","","","","","","","","","","Lauriberto José Reyes","Lauriberto José Reyes",""
"","","http://pt.wikipedia.org/wiki/Nicolai_Hansen","","","","","","","","","","","","Nicolai Hansen","Nicolai Hansen",""
"","","http://pt.wikipedia.org/wiki/Viador_(prepósito)","","","","","","","","","","","","Viador (prepósito)","Viador",""
"","","http://pt.wikipedia.org/wiki/Luís_Antônio_(compositor)","","","","","Antônio de Pádua Vieira da Costa","","","","","","","Luís Antônio (compositor)","Luís Antônio",""
"","","http://pt.wikipedia.org/wiki/Naidangiin_Tüvshinbayar","","","","","","","","","","","","Naidangiin Tüvshinbayar","Naidangiin Tüvshinbayar",""
"","","http://pt.wikipedia.org/wiki/Stig_Andersson_(ciclista)","","","","","","Kocken","","","","","","Stig Andersson (ciclista)","Stig Andersson",""
"","","http://pt.wikipedia.org/wiki/DJ_King","","","","","Carlos Eduardo Sebastião","","","","","","","DJ King","DJ King",""
"","","http://pt.wikipedia.org/wiki/Karin_Pettersen","","","","","","","","","","","","Karin Pettersen","Karin Pettersen",""
"","","http://pt.wikipedia.org/wiki/Patrick_Kisnorbo","","","","","","Kissa","","","","","","Patrick Kisnorbo","Patrick Fabio Maxime Kisnorbo;;Patrick Kisnorbo",""
"","","http://pt.wikipedia.org/wiki/Bruno_Medeiros_Grassi","","","","","","","","","","","","Bruno Medeiros Grassi","Bruno Grassi;;Bruno Medeiros Grassi",""
