"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","","http://pt.wikipedia.org/wiki/Ilias_Solakis","","","","","","","","","","","","Ilias Solakis","Ilias Solakis",""
"","","http://pt.wikipedia.org/wiki/Francisco_de_Paula_Rocha_Aguiar","","","","","","","","","","","","Francisco de Paula Rocha Aguiar","Chico Aguiar",""
"","","http://pt.wikipedia.org/wiki/Vitor_Novello","","","","","","","","","","","","Vitor Novello","Vítor Novello",""
"","","http://pt.wikipedia.org/wiki/Everton_Felipe_da_Silva_Santos","","","","","","","","","","","","Everton Felipe da Silva Santos","Everton Felipe;;Everton Felipe de Oliveira Silva",""
"","","http://pt.wikipedia.org/wiki/Tuba_Büyüküstün","","","","","","","","","","","","Tuba Büyüküstün","Tuba Büyüküstün",""
"","","http://pt.wikipedia.org/wiki/João_Coutinho,_5.º_Conde_de_Redondo","","","","","","","","","","","","João Coutinho, 5.º Conde de Redondo","D. João Coutinho",""
"","","http://pt.wikipedia.org/wiki/Tyson_Chandler","","","","","","Tyson Chandler","","","","","","Tyson Chandler","Tyson Cleotis Chandler",""
"","","http://pt.wikipedia.org/wiki/Vannozza_dei_Cattanei","","","","","","","","","","","","Vannozza dei Cattanei","Vannozza dei Cattanei",""
"","","http://pt.wikipedia.org/wiki/Marcelinho_Machado","","","","","","Marcelinho / ""Crazy Shooter""","","","","","","Marcelinho Machado","Marcelo Magalhães Machado",""
"","","http://pt.wikipedia.org/wiki/Tom_Keifer","","","","","Carl Thomas Keifer","","","","","","","Tom Keifer","Tom Keifer",""
"","","http://pt.wikipedia.org/wiki/Ōinomikado_Ietsugu","","","","","","","","","","","","Ōinomikado Ietsugu","Ōinomikado Ietsugu",""
"","","http://pt.wikipedia.org/wiki/José_de_la_Riva_Agüero","","","","","","","","","","","","José de la Riva Agüero","José de la Riva Agüero",""
"","","http://pt.wikipedia.org/wiki/Joseph_Burr_Tyrrell","","","","","","","","","","","","Joseph Burr Tyrrell","Joseph Burr Tyrrell",""
"","","http://pt.wikipedia.org/wiki/Valentina_Tereshkova","","","","","","","","","","","","Valentina Tereshkova","Valentina Tereshkova",""
"","","http://pt.wikipedia.org/wiki/Jaime_Castrillón","","","","","","","","","","","","Jaime Castrillón","Jaime Alberto Castrillón Vásquez;;Jaime Castrillón",""
"","","http://pt.wikipedia.org/wiki/Donna_McKechnie","","","","","","","","","","","","Donna McKechnie","Donna McKechnie",""
"","","http://pt.wikipedia.org/wiki/Marcelo_Beauty","","","","","","","","","","","","Marcelo Beauty","Marcelo Beauty;;Waldir Moreira Lemos",""
"","","http://pt.wikipedia.org/wiki/Shinji_Mikami","","","","","","","","","","","","Shinji Mikami","Shinji Mikami",""
"","","http://pt.wikipedia.org/wiki/Lola_Bunny","","","","","","","","","","","","Lola Bunny","Lola Bunny PT, EN, BR",""
"","","http://pt.wikipedia.org/wiki/Apolinário_Porto-Alegre","","","","","","","","","","","","Apolinário Porto-Alegre","",""
"","","http://pt.wikipedia.org/wiki/William_Lashly","","","","","","","","","","","","William Lashly","William Lashly",""
"","","http://pt.wikipedia.org/wiki/Anna-Lena_Grönefeld","","","","","","","","","","","","Anna-Lena Grönefeld","Anna-Lena Grönefeld",""
"","","http://pt.wikipedia.org/wiki/Olaf_Paltian","","","","","","","","","","","","Olaf Paltian","Olaf Paltian",""
"","","http://pt.wikipedia.org/wiki/Francisco_Gabilondo_Soler","","","","","","Cri-Cri","","","","","","Francisco Gabilondo Soler","Francisco Gabilondo Soler",""
