"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","","http://pt.wikipedia.org/wiki/Papa_Eugênio_I","","","","","","","","","","","","Papa Eugênio I","",""
"","","http://pt.wikipedia.org/wiki/Sergi_Gómez","","","","","","","","","","","","Sergi Gómez","Sergi Gómez;;Sergi Gómez Solà",""
"","","http://pt.wikipedia.org/wiki/Tigran_Sargsyan","","","","","","","","","","","","Tigran Sargsyan","Tigran Sargsyan",""
"","","http://pt.wikipedia.org/wiki/João_Vítor_Rocha_de_Carvalho_Moreira","","","","","","","","","","","","João Vítor Rocha de Carvalho Moreira","João Moreira;;João Vítor Rocha de Carvalho Moreira",""
"","","http://pt.wikipedia.org/wiki/Saito_Makoto","","","","","","","","","","","","Saito Makoto","Saito Makoto",""
"","","http://pt.wikipedia.org/wiki/Weverson_Leandro_Oliveira_Moura","","","","","","Leandrowski","","","","","","Weverson Leandro Oliveira Moura","Leandro;;Weverson Leandro Oliveira de Moura",""
"","","http://pt.wikipedia.org/wiki/Johan_van_Benthem","","","","","","","","","","","","Johan van Benthem","",""
"","","http://pt.wikipedia.org/wiki/Fernando_Roese","","","","","","","","","","","","Fernando Roese","Fernando Roese",""
"Luisa Isabella Nolasco da Silva (梁洛施)","","http://pt.wikipedia.org/wiki/Isabella_Leong","","","","","","Leung, Leung Lok-si, Luoshi Liang","","","","","","Isabella Leong","Isabella Leong","Leung, Leung Lok-si, Luoshi Liang"
"","","http://pt.wikipedia.org/wiki/Carlos_Luís_de_Baden","","","","","","","","","","","","Carlos Luís de Baden","Carlos Luís de Baden",""
"","","http://pt.wikipedia.org/wiki/Emmanuel_Rashba","","","","","","","","","","","","Emmanuel Rashba","Emmanuel I. Rashba",""
"","","http://pt.wikipedia.org/wiki/Martí_Ventolrà","","","","","","","","","","","","Martí Ventolrà","Martí Ventolrà",""
"","","http://pt.wikipedia.org/wiki/Alena_Dylko","","","","","","","","","","","","Alena Dylko","Alena Dylko",""
"","","http://pt.wikipedia.org/wiki/Alice_Davenport","","","","","","","","","","","","Alice Davenport","Alice Davenport",""
"","","http://pt.wikipedia.org/wiki/Mike_Conley","","","","","","""Mike""","","","","","","Mike Conley","Michael Alexander Conley;;Mike Conley",""
"","","http://pt.wikipedia.org/wiki/Sofia_da_Prússia","","","","","","","","","","","","Sofia da Prússia","Sofia;;Sofia Doroteia Ulrica Alice",""
"","","http://pt.wikipedia.org/wiki/Yōko_Hikasa","","","","","","","","","","","","Yōko Hikasa","Yōko Hikasa",""
"","","http://pt.wikipedia.org/wiki/Brian_Connolly","","","","","","","","","","","","Brian Connolly","Brian Connolly",""
"","","http://pt.wikipedia.org/wiki/Lou_Donaldson","","","","","","","","","","","","Lou Donaldson","",""
"","","http://pt.wikipedia.org/wiki/Kary_Mullis","","","","","","","","","","","","Kary Mullis","Kary Mullis",""
"","","http://pt.wikipedia.org/wiki/Calidasa","","","","","","","","","","","","Calidasa","",""
"","","http://pt.wikipedia.org/wiki/Sheslon_Lucas_Lima_Santana","","","","","","","","","","","","Sheslon Lucas Lima Santana","Sheslon;;Sheslon Lucas Lima Sant’ana",""
"","","http://pt.wikipedia.org/wiki/Michelle_Belegrin","","","","","","","","","","","","Michelle Belegrin","Michelle Belegrin",""
"","","http://pt.wikipedia.org/wiki/Manuel_Duarte_Leitão","","","","","","","","","","","","Manuel Duarte Leitão","Manuel Duarte Leitão",""
"","","http://pt.wikipedia.org/wiki/Grégory_Pujol","","","","","","","","","","","","Grégory Pujol","Grégory Pujol",""
"","","http://pt.wikipedia.org/wiki/Aleksandr_Rymanov","","","","","","","","","","","","Aleksandr Rymanov","Aleksandr Anatolevich Rymanov;;Aleksandr Rymanov",""
"","","http://pt.wikipedia.org/wiki/Amadeu_Meireles","","","","","","","","","","","","Amadeu Meireles","Amadeu José Meireles da Costa",""
"Fabiano Augusto Fossa de Araújo Pinto","","http://pt.wikipedia.org/wiki/Fabiano_Augusto","","","","","","","","","","","","Fabiano Augusto","Fabiano Augusto",""
"","","http://pt.wikipedia.org/wiki/Willie_Cunningham","","","","","","","","","","","","Willie Cunningham","William E. Cunningham;;Willie Cunningham",""
"Filomena José Dias Fernandes Cautela","","http://pt.wikipedia.org/wiki/Filomena_Cautela","","","","","","","","","","","","Filomena Cautela","Filomena Cautela",""
"","","http://pt.wikipedia.org/wiki/Rufino_(mestre_dos_soldados)","","","","","","","","","","","","Rufino (mestre dos soldados)","Rufino",""
"","","http://pt.wikipedia.org/wiki/Kurt_Schaffenberger","","","","","","","","","","","","Kurt Schaffenberger","Kurt Schaffenberger",""
"","","http://pt.wikipedia.org/wiki/Jimmy_Smits","","","","","","","","","","","","Jimmy Smits","Jimmy Smits",""
"","","http://pt.wikipedia.org/wiki/Leônidas_Cardoso","","","","","","","","","","","","Leônidas Cardoso","Leônidas Cardoso",""
"","","http://pt.wikipedia.org/wiki/Juliano_Roberto_Cavalheiro","","","","","","","","","","","","Juliano Roberto Cavalheiro","Juliano;;Juliano Roberto Cavalheiro",""
"","","http://pt.wikipedia.org/wiki/Maksym_Koval","","","","","","","","","","","","Maksym Koval","Maksym Anatoliyovych Koval';;Maksym Koval';;Максим Коваль",""
"","","http://pt.wikipedia.org/wiki/Kwon_Sang-woo","","","","","","","","","","","","Kwon Sang-woo","Kwon Sang-woo",""
"","","http://pt.wikipedia.org/wiki/Lucian_Freud","","","","","","","","","","","","Lucian Freud","Lucian Freud",""
"","","http://pt.wikipedia.org/wiki/Yves_Van_Massenhove","","","","","","","","","","","","Yves Van Massenhove","Yves Van Massenhove",""
"","","http://pt.wikipedia.org/wiki/Marília_Arraes","","","","","","","","","","","","Marília Arraes","Marília Arraes","Marília Valença Rocha Arraes de Alencar Pontes"
"","","http://pt.wikipedia.org/wiki/Ricardo_Sérgio_Rocha_Azevedo","","","","","","","","","","","","Ricardo Sérgio Rocha Azevedo","Ricardo Rocha;;Ricardo Sérgio Rocha Azevedo",""
"","","http://pt.wikipedia.org/wiki/Victory_Tour_(turnê_de_Modern_Talking)","","","","","","","","","","","","Victory Tour (turnê de Modern Talking)","Victory Tour",""
"Catherine Ann Bosworth","","http://pt.wikipedia.org/wiki/Kate_Bosworth","","","","","","","","","","","","Kate Bosworth","Kate Bosworth",""
"","","http://pt.wikipedia.org/wiki/António_Marcelino_da_Silva","","","","","","","","","","","","António Marcelino da Silva","António Augusto Marcelino da Silva;;António Marcelino da Silva","António Marcelino da Silva, Marcelino da Silva"
"","","http://pt.wikipedia.org/wiki/Brandon_Mychal_Smith","","","","","Brandon Mychal Smith","Brand,Mychal","","","","","","Brandon Mychal Smith","Brandon Smith",""
"","","http://pt.wikipedia.org/wiki/Zeca_Preto","","","","","José Maria de Souza Garcia","","","","","","","Zeca Preto","Zeca Preto",""
"Anjelica Susan Huston","","http://pt.wikipedia.org/wiki/Anjelica_Huston","","","","","","","","","","","","Anjelica Huston","Anjelica Huston",""
"","","http://pt.wikipedia.org/wiki/Jimmy_Davis","","","","","","","","","","","","Jimmy Davis","James Roger William Davis;;Jimmy Davis",""
"","","http://pt.wikipedia.org/wiki/Cuauhtémoc","","","","","","","","","","","","Cuauhtémoc","Cuahtémoc;;kʷiˈt͡ɬawak",""
"","","http://pt.wikipedia.org/wiki/Günther_Josten","","","","","","","","","","","","Günther Josten","Günther Josten",""
"","","http://pt.wikipedia.org/wiki/Erasmus_Bartholin","","","","","","","","","","","","Erasmus Bartholin","Erasmus Bartholin",""
"","","http://pt.wikipedia.org/wiki/Aulo_Hírcio","","","","","","","","","","","","Aulo Hírcio","Aulo Hírcio",""
"","","http://pt.wikipedia.org/wiki/Jacques_de_Oliveira_Neves","","","","","","","","","","","","Jacques de Oliveira Neves","",""
"","","http://pt.wikipedia.org/wiki/Valentin_Mikhaylov","","","","","","","","","","","","Valentin Mikhaylov","Valentin Mikhaylov",""
"","","http://pt.wikipedia.org/wiki/Angela_Hucles","","","","","","","","","","","","Angela Hucles","Angela Hucles;;Angela Khalia Hucles",""
"","","http://pt.wikipedia.org/wiki/Luscious_Lopez","","","","","","Luscious, Dasha, Fabiola","","","","","","Luscious Lopez","Luscious Lopez",""
"","","http://pt.wikipedia.org/wiki/Abílio_Vieira","","","","","","","","","","","","Abílio Vieira","Abílio Vieira",""
"","","http://pt.wikipedia.org/wiki/Linus_Yale","","","","","","","","","","","","Linus Yale","Linus Yale",""
"","","http://pt.wikipedia.org/wiki/Albert_Biecker","","","","","","","","","","","","Albert Biecker","Albert Biecker",""
"","","http://pt.wikipedia.org/wiki/Ivor_Allchurch","","","","","","Menino Dourado","","","","","","Ivor Allchurch","Ivor Allchurch;;Ivor John Allchurch",""
"","","http://pt.wikipedia.org/wiki/Nikolay_Kozlov","","","","","","","","","","","","Nikolay Kozlov","Nikolay Kozlov;;Nikolay Nikolaevich Kozlov",""
"","","http://pt.wikipedia.org/wiki/Mark_Ronson","","","","","Mark Daniel Ronson","","","","","","","Mark Ronson","Mark Ronson",""
"","","http://pt.wikipedia.org/wiki/Jota_Santiago","","","","","","","","","","","","Jota Santiago","Jota Santiago",""
"","","http://pt.wikipedia.org/wiki/George_Hogg","","","","","","","","","","","","George Hogg","George Hogg",""
"","","http://pt.wikipedia.org/wiki/Francisco_Marto","","","","","","","","","","","","Francisco Marto","Beato Francisco Marto",""
"","","http://pt.wikipedia.org/wiki/Ricardo_da_Costa_Pateiro","","","","","","","","","","","","Ricardo da Costa Pateiro","Ricardo Pateiro;;Ricardo da Costa Pateiro",""
"","","http://pt.wikipedia.org/wiki/Pedro_(presidente)","","","","","","","","","","","","Pedro (presidente)","Pedro",""
"Nelson Hannequim Dantas Filho","","http://pt.wikipedia.org/wiki/Nelson_Dantas","","","","","","","","","","","","Nelson Dantas","Nelson Dantas",""
"","","http://pt.wikipedia.org/wiki/Marquinho_Amaral","","","","","","","","","","","","Marquinho Amaral","Marquinho Amaral","Marco Antonio Amaral"
"","","http://pt.wikipedia.org/wiki/Luciano_Pereyra","","","","","Luciano Ariel Pereyra","","","","","","","Luciano Pereyra","Luciano Pereyra",""
"","","http://pt.wikipedia.org/wiki/Leslie_David_Baker","","","","","","","","","","","","Leslie David Baker","Leslie David Baker",""
"","","http://pt.wikipedia.org/wiki/Artur_Otávio_Scapin_Jordão_Costa","","","","","","","","","","","","Artur Otávio Scapin Jordão Costa","Artur Otávio Scapin Jordão Costa",""
"Damian Robert Chapa","","http://pt.wikipedia.org/wiki/Damian_Chapa","","","","","","","","","","","","Damian Chapa","Damian Chapa",""
"","","http://pt.wikipedia.org/wiki/Nelson_Horatio_Darton","","","","","","","","","","","","Nelson Horatio Darton","Nelson Horatio Darton",""
"","","http://pt.wikipedia.org/wiki/Bülent_Ecevit","","","","","","","","","","","","Bülent Ecevit","Mustafa Bülent Ecevit",""
"","","http://pt.wikipedia.org/wiki/Samantha_Fox","","","","","Samantha Karen Fox","","","","","","","Samantha Fox","Samantha Fox",""
"","","http://pt.wikipedia.org/wiki/Rubén_Ramírez_Hidalgo","","","","","","","","","","","","Rubén Ramírez Hidalgo","Rubén Ramírez Hidalgo",""
"","","http://pt.wikipedia.org/wiki/Ailton_Ferraz","","","","","","Ailton","","","","","","Ailton Ferraz","Ailton Ferraz;;Ailton dos Santos Ferraz",""
"","","http://pt.wikipedia.org/wiki/Rick_Derringer","","","","","","Rick Derringer","","","","","","Rick Derringer","Rick Derringer",""
"","","http://pt.wikipedia.org/wiki/Diego_Ulissi","","","","","","","","","","","","Diego Ulissi","Diego Ulissi",""
"","","http://pt.wikipedia.org/wiki/Dmitri_Hvorostovsky","","","","","","","","","","","","Dmitri Hvorostovsky","Дмитрий Александрович Хворостовский",""
"Reynaldo Cisotto Gianecchini Júnior","","http://pt.wikipedia.org/wiki/Reynaldo_Gianecchini","","","","","","","","","","","","Reynaldo Gianecchini","Reynaldo Gianecchini",""
"","","http://pt.wikipedia.org/wiki/Francis_Hunter","","","","","","","","","","","","Francis Hunter","Francis Hunter",""
"","","http://pt.wikipedia.org/wiki/Claudio_Celso","","","","","","","","","","","","Claudio Celso","Claudio Celso",""
"","","http://pt.wikipedia.org/wiki/Lazzaro_Spallanzani","","","","","","","","","","","","Lazzaro Spallanzani","Lazzaro Spallanzani",""
"","","http://pt.wikipedia.org/wiki/Wantuil_Rodrigues","","","","","","","","","","","","Wantuil Rodrigues","Wantuil Expedito Rodrigues Pereira;;Wantuil Rodrigues",""
"","","http://pt.wikipedia.org/wiki/Cristóvão_I_da_Dinamarca","","","","","","","","","","","","Cristóvão I da Dinamarca","Cristóvão I;;Cristóvão Valdemarsen",""
"","","http://pt.wikipedia.org/wiki/Ariel_Olascoaga","","","","","","","","","","","","Ariel Olascoaga","Ariel Olascoaga Gutiérrez",""
"","","http://pt.wikipedia.org/wiki/Devon_Lee","","","","","","","","","","","","Devon Lee","Devon Lee",""
"","","http://pt.wikipedia.org/wiki/Jacob_de_Castro_Sarmento","","","","","","","","","","","","Jacob de Castro Sarmento","Jacob de Castro Sarmento",""
"","","http://pt.wikipedia.org/wiki/SoShy","","","","","Deborah Epstein","","","","","","","SoShy","Soshy",""
"","","http://pt.wikipedia.org/wiki/Anselmo_Vendrechovski_Júnior","","","","","","Canhão de General Severiano","","","","","","Anselmo Vendrechovski Júnior","Anselmo Vendrechovski Júnior;;Juninho",""
"","","http://pt.wikipedia.org/wiki/Palmirinha_Onofre","","","","","","","","","","","","Palmirinha Onofre","Palmira Nery da Silva Onofre;;Palmirinha Onofre",""
"","","http://pt.wikipedia.org/wiki/Shy_Kidx","","","","","","","","","","","","Shy Kidx","Shy Kidx",""
"","","http://pt.wikipedia.org/wiki/Nikolai_Maximov","","","","","","","","","","","","Nikolai Maximov","Nikolai Maximov;;Nikolai Mikhailovich Maksimov",""
"","","http://pt.wikipedia.org/wiki/André_Lopes","","","","","","","","","","","","André Lopes","",""
"","","http://pt.wikipedia.org/wiki/James_Grogan","","","","","","Jim","","","","","","James Grogan","James David Grogan;;James Grogan",""
"","","http://pt.wikipedia.org/wiki/Ducas,_o_Grego","","","","","","","","","","","","Ducas, o Grego","Ducas, o Grego",""
"","","http://pt.wikipedia.org/wiki/Joseph_Adolf_Thas","","","","","","","","","","","","Joseph Adolf Thas","Joseph Adolf Thas",""
"","","http://pt.wikipedia.org/wiki/Walter_Calderón","","","","","","Mamita","","","","","","Walter Calderón","Walter Calderón;;Walter Richard Calderón Carcelén",""
"","","http://pt.wikipedia.org/wiki/Naoki_Matsuda","","","","","","","","","","","","Naoki Matsuda","Naoki Matsuda",""
"","","http://pt.wikipedia.org/wiki/Vince_Neil","","","","","Vincent Neil Wharton","","","","","","","Vince Neil","Vince Neil",""
"","","http://pt.wikipedia.org/wiki/Elesbão_de_Axum","","","","","","","","","","","","Elesbão de Axum","Santo Elesbão",""
"","","http://pt.wikipedia.org/wiki/Romina_Oprandi","","","","","","","","","","","","Romina Oprandi","Romina Oprandi",""
"","","http://pt.wikipedia.org/wiki/Papa_Marinho_II","","","","","","","","","","","","Papa Marinho II","",""
"","","http://pt.wikipedia.org/wiki/Gastão_Moreira","","","","","","","","","","","","Gastão Moreira","Gastão Moreira",""
"","","http://pt.wikipedia.org/wiki/Furby","","","","","","","","","","","","Furby","Furby",""
"","","http://pt.wikipedia.org/wiki/Renato_Janine_Ribeiro","","","","","","","","","","","","Renato Janine Ribeiro","Renato Janine Ribeiro",""
"","","http://pt.wikipedia.org/wiki/Pedro_da_Vinha_Costa","","","","","","","","","","","","Pedro da Vinha Costa","Pedro da Vinha Costa",""
"Auterives Maciel Júnior","","http://pt.wikipedia.org/wiki/Auterives_Maciel_Júnior","","","","","","","","","","","","Auterives Maciel Júnior","Auterives Maciel",""
"","","http://pt.wikipedia.org/wiki/Francesco_Toldo","","","","","","Toldone","","","","","","Francesco Toldo","Francesco Toldo",""
"","","http://pt.wikipedia.org/wiki/John_Sheridan","","","","","","","","","","","","John Sheridan","John Sheridan",""
"","","http://pt.wikipedia.org/wiki/Olivia_Newton-John","","","","","Olivia Newton-John","","","","","","","Olivia Newton-John","Olivia Newton-John",""
"","","http://pt.wikipedia.org/wiki/Shimon_Even","","","","","","","","","","","","Shimon Even","Shimon Even",""
"","","http://pt.wikipedia.org/wiki/Kurt_Enoch_Stenberg","","","","","","","","","","","","Kurt Enoch Stenberg","Kurt Enoch Stenberg;;Kurt Stenberg",""
"","","http://pt.wikipedia.org/wiki/Martinho_Lutero","","","","","","","","","","","","Martinho Lutero","Martinho Lutero;;Martinus Luter (Martin Luther)",""
