"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","","http://pt.wikipedia.org/wiki/Manoel_Lopes_Diniz","","","","","","","","","","","","Manoel Lopes Diniz","Manoel Lopes Diniz",""
"","","http://pt.wikipedia.org/wiki/Wendy_Williams","","","","","","","","","","","","Wendy Williams","Wendy Joan Williams;;Wendy Williams",""
"","","http://pt.wikipedia.org/wiki/Rika_Fukami","","","","","","","","","","","","Rika Fukami","Rika Fukami;;深見 梨加",""
"","","http://pt.wikipedia.org/wiki/José_Nunes_Soares","","","","","","","","","","","","José Nunes Soares","José Nunes",""
"","","http://pt.wikipedia.org/wiki/Steve_Benjamin","","","","","","","","","","","","Steve Benjamin","Stephen DeLancey ""Steve"" Benjamin;;Steve Benjamin",""
"","","http://pt.wikipedia.org/wiki/Alair_Ferreira","","","","","","","","","","","","Alair Ferreira","Alair Ferreira",""
"","","http://pt.wikipedia.org/wiki/Jamie_Cullum","","","","","","","","","","","","Jamie Cullum","Jamie Cullum",""
"","","http://pt.wikipedia.org/wiki/Richard_Cloward","","","","","","","","","","","","Richard Cloward","Richard Cloward",""
"","","http://pt.wikipedia.org/wiki/George_Feher","","","","","","","","","","","","George Feher","George Feher",""
"","","http://pt.wikipedia.org/wiki/Artur_de_Paiva","","","","","","","","","","","","Artur de Paiva","Artur de Paiva",""
"","","http://pt.wikipedia.org/wiki/Jiří_Veselý","","","","","","","","","","","","Jiří Veselý","Jiří Veselý",""
"","","http://pt.wikipedia.org/wiki/Marina_Silva","","","","","","","","","","","","Marina Silva","Marina Silva",""
"","","http://pt.wikipedia.org/wiki/Geraldo_José_da_Silva","","","","","","Geraldo II","","","","","","Geraldo José da Silva","Geraldo José;;Geraldo José da Silva",""
"","","http://pt.wikipedia.org/wiki/Jonas_Gonçalves_Oliveira","","","","","","""Jonas Pistolas""","","","","","","Jonas Gonçalves Oliveira","Jonas;;Jonas Gonçalves Oliveira",""
"Noel Anthony Clarke","","http://pt.wikipedia.org/wiki/Noel_Clarke","","","","","","","","","","","","Noel Clarke","Noel Clarke",""
"","","http://pt.wikipedia.org/wiki/Marco_Ricca","","","","","","","","","","","","Marco Ricca","Marco Ricca",""
"","","http://pt.wikipedia.org/wiki/Dwight_Jones","","","","","","","","","","","","Dwight Jones","Dwight Elmo Jones",""
"","","http://pt.wikipedia.org/wiki/Jonathan_Horton","","","","","","","","","","","","Jonathan Horton","Jonathan Alan Horton;;Jonathan Horton",""
"","","http://pt.wikipedia.org/wiki/Grazielle_Pinheiro_Nascimento","","","","","","","","","","","","Grazielle Pinheiro Nascimento","Grazi;;Grazielle Pinheiro Nascimento",""
"Barbara Jean Moorhead","","http://pt.wikipedia.org/wiki/Barbara_Eden","","","","","","","","","","","","Barbara Eden","Barbara Eden",""
"","","http://pt.wikipedia.org/wiki/Janer_Cristaldo","","","","","","","","","","","","Janer Cristaldo","Janer Cristaldo;;Janer Cristaldo Ferreira Moreira",""
"","","http://pt.wikipedia.org/wiki/Bruno_Campos","","","","","","","","","","","","Bruno Campos","Bruno Campos",""
