"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","","http://pt.wikipedia.org/wiki/Domiciano_Leite_Ribeiro","","","","","","","","","","","","Domiciano Leite Ribeiro","Domiciano Leite Ribeiro",""
"","","http://pt.wikipedia.org/wiki/Jonas_de_Moraes_Correia_Filho","","","","","","","","","","","","Jonas de Moraes Correia Filho","Jonas de Moraes Correia Filho",""
"","","http://pt.wikipedia.org/wiki/Otão_I_de_Monferrato","","","","","","","","","","","","Otão I de Monferrato","Otão I de Monferrato",""
"","","http://pt.wikipedia.org/wiki/Luís_Nobre_Guedes","","","","","","","","","","","","Luís Nobre Guedes","Luís Nobre Guedes",""
"","","http://pt.wikipedia.org/wiki/Philipe_Fidélis","","","","","","","","","","","","Philipe Fidélis","Fidélis;;Philipe Fidélis dos Santos",""
"","","http://pt.wikipedia.org/wiki/João_VI_Cantacuzeno","","","","","","","","","","","","João VI Cantacuzeno","João VI Cantacuzeno",""
"","","http://pt.wikipedia.org/wiki/Sérgio_Santos_(músico)","","","","","Sérgio Correia dos Santos","","","","","","","Sérgio Santos (músico)","Sérgio Santos",""
"","","http://pt.wikipedia.org/wiki/Minamoto_no_Masazane","","","","","","","","","","","","Minamoto no Masazane","Minamoto no Masazane",""
"","","http://pt.wikipedia.org/wiki/João_II_de_Aragão","","","","","","","","","","","","João II de Aragão","João II",""
"","","http://pt.wikipedia.org/wiki/William_Anthony_Granville","","","","","","","","","","","","William Anthony Granville","William Anthony Granville",""
"","","http://pt.wikipedia.org/wiki/Paul_Guldin","","","","","","","","","","","","Paul Guldin","Paul Guldin",""
"","","http://pt.wikipedia.org/wiki/Archibald_Vivian_Hill","","","","","","","","","","","","Archibald Vivian Hill","Archibald Vivian Hill",""
"","","http://pt.wikipedia.org/wiki/Cristina_Ataíde","","","","","","","","","","","","Cristina Ataíde","Cristina Ataíde",""
"","","http://pt.wikipedia.org/wiki/Tudor_Casapu","","","","","","","","","","","","Tudor Casapu","Tudor Casapu",""
"","","http://pt.wikipedia.org/wiki/Gonçalo_Monhóz","","","","","","","","","","","","Gonçalo Monhóz","Gonçalo Monhóz",""
"","","http://pt.wikipedia.org/wiki/Paulo_Melo","","","","","","","","","","","","Paulo Melo","Paulo Melo",""
"","","http://pt.wikipedia.org/wiki/Scott_Cunningham","","","","","","","","","","","","Scott Cunningham","",""
"","","http://pt.wikipedia.org/wiki/Oh_Yong-ran","","","","","","","","","","","","Oh Yong-ran","Oh Yong-Ran",""
"Nancy Campbell Cartwright","","http://pt.wikipedia.org/wiki/Nancy_Cartwright","","","","","","","","","","","","Nancy Cartwright","Nancy Cartwright",""
